Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Pierce Johnson,33,58,0,0,56.1,11,2,9,0,1,1,,,1,4,0,1.76,0.19,,,8,1,0.11,0.20,1,P,johnspi01
Jarred Kelenic,24,124,110,95,1000,238,231,4,3,0,0.987,1,1,-3,-4,-2,2.12,1.87,,,,,,,,LF-CF-RF,kelenja01
Ray Kerr,29,10,2,0,22.1,6,1,3,2,0,0.667,,,-2,-18,0,1.61,0.4,,,5,1,0.17,0.20,0,P,kerrra01
Ramón Laureano,29,65,54,45,489.1,89,86,2,1,0,0.989,-4,-9,0,0,3,1.62,1.22,,,,,,,,RF-LF-CF,laurera01
Dylan Lee,29,52,0,0,59.2,6,1,5,0,0,1,,,2,7,0,0.91,0.12,,,1,3,0.75,0.20,0,P,leedy01
Reynaldo López,30,26,25,0,135.2,13,8,5,0,1,1,,,-4,-6,0,0.86,0.5,,,20,1,0.05,0.20,0,P,lopezre01
J.P. Martínez,28,5,1,1,20,4,4,0,0,0,1,0,2,0,0,0,1.8,0.67,,,,,,,,RF-CF-LF-DH,martijp01
Tyler Matzek,33,11,0,0,10,0,0,0,0,0,,,,0,0,0,0,0,,,0,0,,,0,P,matzety01
Whit Merrifield,35,41,40,35,349.2,145,47,96,2,19,0.986,-3,-9,-5,-17,0,3.68,3.49,,,,,,,,2B-3B,merriwh01
A.J. Minter,30,39,0,0,34.1,11,2,9,0,0,1,,,2,12,0,2.88,0.28,,,1,3,0.75,0.20,0,P,minteaj01
Charlie Morton,40,30,30,0,165.1,33,9,21,3,0,0.909,,,3,4,0,1.63,1,,,12,7,0.37,0.20,6,P,mortoch02
Sean Murphy,29,69,67,63,594,741,709,27,5,3,0.993,1,3,4,8,4,11.15,10.67,2,11,62,15,0.19,0.20,0,C,murphse01
Matt Olson,30,162,162,162,1443.1,1370,1259,105,6,125,0.996,14,11,13,11,2,8.51,8.42,,,,,,,,1B,olsonma02
Marcell Ozuna,33,162,162,,,,,,,,,,,,,,,,,,,,,,,DH,ozunama01
