xName,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Rich Hill,44,4,0,0,3.2,1,0,1,0,0,1,,,0,0,0,2.45,0.25,,,1,1,0.50,0.22,1,P,hillri01
Bailey Horn,26,18,0,0,18,5,1,3,1,0,0.8,,,0,0,0,2,0.22,,,2,0,0.00,0.22,0,P,hornba01
Tanner Houck,28,30,30,1,178.2,51,32,19,0,2,1,,,2,2,0,2.57,1.7,,,11,1,0.08,0.22,0,P,houckta01
Joe Jacques,29,1,0,0,1.2,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.22,0,P,jacqujo01
Danny Jansen,29,28,22,20,211,200,195,2,3,1,0.985,0,-2,-5,-28,0,8.4,6.79,2,2,18,3,0.14,0.22,1,C-DH,janseda01
Kenley Jansen,36,54,0,0,54.2,2,1,1,0,0,1,,,-1,-4,0,0.33,0.04,,,10,3,0.23,0.22,0,P,janseke01
Brad Keller,28,11,0,0,24.2,4,2,2,0,0,1,,,0,0,0,1.46,0.36,,,0,0,,,0,P,kellebr01
Zack Kelly,29,49,3,0,56.2,18,9,9,0,0,1,,,1,4,0,2.86,0.37,,,6,1,0.14,0.22,1,P,kellyza01
Chris Martin,38,45,0,0,44.1,16,8,7,1,0,0.938,,,0,0,0,3.05,0.33,,,6,2,0.25,0.22,1,P,martich02
Reese McGuire,29,48,41,34,361.1,397,381,10,6,2,0.985,0,0,4,13,-1,9.74,7.98,3,10,21,7,0.25,0.22,0,C-DH,mcguire01
Tyler O'Neill,29,95,90,59,799.2,162,151,4,7,0,0.957,-2,-3,1,2,-1,1.74,1.12,,,,,,,,LF-RF-DH,oneilty01
James Paxton,35,3,3,0,11,1,1,0,0,0,1,,,-1,-18,0,0.82,0.33,,,2,0,0.00,0.22,0,P,paxtoja01
Zach Penrod,27,7,0,0,4,1,0,1,0,0,1,,,0,0,0,2.25,0.14,,,0,0,,,0,P,penroza01
Nick Pivetta,31,27,26,0,145.2,16,8,7,1,0,0.938,,,1,1,0,0.93,0.56,,,11,3,0.21,0.22,0,P,pivetni01
Quinn Priester,23,1,1,0,5,3,3,0,0,0,1,,,0,0,0,5.4,3,,,0,0,,,0,P,priesqu01
Ceddanne Rafaela,23,151,147,114,1333.1,489,297,180,12,41,0.975,0,0,10,9,-2,3.22,2.59,,,,,,,,SS-CF-2B-3B-RF,rafaece01
Yohan Ramírez,29,1,0,0,1.1,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.22,0,P,ramiryo01
Rob Refsnyder,33,76,51,36,495.1,122,116,2,4,0,0.967,4,9,-4,-10,-1,2.14,1.23,,,,,,,,LF-RF-DH,refsnro01
Pablo Reyes,30,21,14,9,142,62,20,38,4,4,0.935,-1,-10,-2,-17,0,3.68,2.32,,,0,0,,,0,3B-2B-SS-1B-P,reyespa01
Joely Rodríguez,32,14,0,0,13.2,3,2,1,0,0,1,,,0,0,0,1.98,0.21,,,2,0,0.00,0.22,0,P,rodrijo06
Zack Short,29,2,2,2,18,6,1,5,0,1,1,0,19,0,0,0,3,3,,,,,,,,3B-2B,shortza01
