Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Robert Gasser,25,5,5,0,28,6,3,2,1,0,0.833,,,-1,-7,0,1.61,1,,,2,0,0.00,0.21,0,P,gassero01
Eric Haase,31,23,16,14,151.1,149,144,3,2,0,0.987,-1,-8,-2,-16,1,8.74,5.25,0,3,17,2,0.11,0.20,0,C-DH,haaseer01
DL Hall,25,13,7,0,43,3,0,3,0,0,1,,,0,0,0,0.63,0.23,,,2,0,0.00,0.21,1,P,halldl01
Kevin Herget,33,7,0,0,11.1,1,0,1,0,0,1,,,0,0,0,0.79,0.14,,,0,0,,,0,P,hergeke01
Elieser Hernández,29,4,0,0,6,0,0,0,0,0,,,,0,0,,0,0,,,0,1,1.00,0.20,0,P,hernael01
Brewer Hicklen,28,2,2,0,12,2,2,0,0,0,1,0,-25,0,0,0,1.5,1,,,,,,,,RF,hicklbr01
Rhys Hoskins,31,94,88,76,777.1,660,602,55,3,52,0.995,-4,-6,-3,-5,-1,7.61,5.02,,,,,,,,1B-DH,hoskirh01
Bryan Hudson,27,43,0,0,62.1,10,5,5,0,0,1,,,1,3,0,1.44,0.23,,,3,2,0.40,0.20,1,P,hudsobr01
Tyler Jay,30,2,0,0,3,0,0,0,0,0,,,,0,0,,0,0,,,2,0,0.00,0.21,0,P,jayty01
Jakob Junis,31,10,1,0,26,4,2,2,0,1,1,,,0,0,0,1.38,0.4,,,2,0,0.00,0.21,0,P,junisja01
Janson Junk,28,5,0,0,8,1,0,1,0,0,1,,,0,0,0,1.13,0.2,,,2,0,0.00,0.21,0,P,junkja01
Dallas Keuchel,36,4,4,0,16.2,2,0,2,0,0,1,,,-1,-12,0,1.08,0.5,,,4,0,0.00,0.20,0,P,keuchda01
Jared Koenig,30,55,6,0,62,7,0,5,2,0,0.714,,,-1,-3,0,0.73,0.09,,,5,1,0.17,0.20,0,P,koenija01
Nick Mears,27,13,0,0,12.1,1,0,1,0,0,1,,,0,0,0,0.73,0.08,,,1,1,0.50,0.21,0,P,mearsni01
James Meeker,29,1,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,meekeja01
Trevor Megill,30,48,0,0,46.1,5,2,3,0,1,1,,,-1,-4,-1,0.97,0.1,,,9,1,0.10,0.20,0,P,megiltr01
Wade Miley,37,2,2,0,7,2,0,2,0,0,1,,,0,0,0,2.57,1,,,0,0,,,0,P,mileywa01
Owen Miller,27,11,7,3,55,57,51,6,0,6,1,0,-7,-1,-22,0,9.33,4.07,,,0,0,,,0,1B-3B-2B-P-DH,milleow01
Hoby Milner,33,61,1,0,64.2,23,11,12,0,0,1,,,4,12,0,3.2,0.38,,,3,1,0.25,0.20,1,P,milneho01
Garrett Mitchell,25,60,51,37,456.2,122,119,3,0,0,1,3,7,6,16,3,2.4,1.72,,,,,,,,CF-RF-DH,mitchga01
Andruw Monasterio,27,51,34,22,312,129,51,72,6,19,0.953,2,9,0,0,0,3.55,2.24,,,,,,,,3B-2B-1B-LF-DH,monasan01
Frankie Montas,31,11,11,0,57.1,7,5,2,0,0,1,,,-2,-7,0,1.1,0.64,,,8,2,0.20,0.20,0,P,montafr02
Tobias Myers,25,27,25,0,138,19,10,6,3,0,0.842,,,0,0,0,1.04,0.59,,,5,5,0.50,0.20,2,P,myersto01
Joey Ortiz,25,141,129,113,1164,365,114,241,10,30,0.973,12,12,8,8,1,2.74,2.37,,,,,,,,3B-SS-2B,ortizjo06
