Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Ryan McKenna,27,8,3,1,30,11,11,0,0,0,1,-1,-36,-1,-40,0,3.3,1.38,,,,,,,,CF-LF-RF,mckenry01
John Means,31,4,4,0,20.2,1,0,1,0,0,1,,,0,0,0,0.44,0.25,,,0,0,,,0,P,meansjo01
Ryan Mountcastle,27,114,108,105,981.1,937,860,74,3,57,0.997,1,2,8,10,3,8.57,7.78,,,,,,,,1B-DH,mountry01
Cedric Mullins,29,140,121,112,1090,274,271,2,1,0,0.996,-2,-3,-5,-6,1,2.25,1.94,,,,,,,,CF-DH,mullice01
Vinny Nittoli,33,2,0,0,4,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.22,0,P,nittovi01
Connor Norby,24,9,9,5,74,18,5,13,0,3,1,-1,-17,1,16,0,2.19,2,,,,,,,,2B,norbyco01
Ryan O'Hearn,30,78,68,41,557.2,361,337,19,5,28,0.986,-4,-10,-4,-9,-2,5.75,2.62,,,,,,,,1B-RF-LF-DH,ohearry01
Cristian Pache,25,2,0,0,4,0,0,0,0,0,,0,0,0,0,,0,0,,,,,,,,RF,pachecr01
Cionel Pérez,28,62,0,0,53.2,14,4,10,0,0,1,,,0,0,0,2.35,0.23,,,2,0,0.00,0.22,0,P,perezci01
Cade Povich,24,16,16,0,79.2,11,2,9,0,2,1,,,2,5,0,1.24,0.69,,,6,1,0.14,0.22,1,P,povicca01
Yohan Ramírez,29,5,0,0,6,2,1,1,0,0,1,,,1,33,0,3,0.4,,,0,0,,,1,P,ramiryo01
Emmanuel Rivera,28,25,17,10,165.2,61,41,19,1,3,0.984,-6,-43,-5,-36,0,3.26,2.07,,,,,,,,3B-1B-DH,riverem01
Grayson Rodriguez,24,20,20,0,116.2,17,10,7,0,1,1,,,0,0,0,1.31,0.85,,,5,2,0.29,0.22,0,P,rodrigr01
Trevor Rogers,26,4,4,0,19,4,0,4,0,0,1,,,0,0,0,1.89,1,,,3,2,0.40,0.22,2,P,rogertr01
Adley Rutschman,26,103,99,97,882.1,915,874,37,4,4,0.996,1,1,4,5,3,9.29,6.16,3,21,82,19,0.19,0.22,0,C-DH,rutscad01
Anthony Santander,29,130,129,104,1120.1,271,262,7,2,2,0.993,9,10,-7,-7,0,2.16,1.72,,,,,,,,RF-1B-DH,santaan02
Colin Selby,26,3,0,0,4,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,selbyco01
Austin Slater,31,29,17,6,154.1,37,36,1,0,0,1,0,1,2,16,0,2.16,1.23,,,,,,,,LF-RF-CF,slateau01
Burch Smith,34,25,0,0,26.2,2,1,1,0,0,1,,,0,0,0,0.68,0.08,,,1,0,0.00,0.22,0,P,smithbu03
Gregory Soto,29,23,0,0,17.2,5,1,4,0,0,1,,,0,0,0,2.55,0.22,,,2,1,0.33,0.22,0,P,sotogr01
Livan Soto,24,11,4,1,39,17,6,11,0,5,1,0,3,0,0,0,3.92,1.31,,,,,,,,2B-3B-SS-DH,sotoli01
Kyle Stowers,26,12,7,2,63.1,16,16,0,0,0,1,0,-7,0,0,0,2.27,0.94,,,,,,,,LF-RF-DH,stoweky01
Albert Suárez,34,32,24,0,133.2,25,9,15,1,2,0.96,,,3,4,0,1.62,0.75,,,10,3,0.23,0.22,0,P,suareal01
Dillon Tate,30,29,0,0,33.1,4,2,2,0,0,1,,,0,0,0,1.08,0.14,,,3,2,0.40,0.22,0,P,tatedi01
Ramón Urías,30,96,75,67,702.2,190,58,126,6,12,0.968,-6,-10,-3,-5,0,2.36,1.82,,,,,,,,3B-2B-1B-DH,uriasra01
Nick Vespi,28,11,0,0,12.1,1,1,0,0,0,1,,,0,0,0,0.73,0.09,,,0,0,,,0,P,vespini01
Thyago Vieira,31,1,0,0,0,0,0,0,0,0,,,,0,,,,0,,,0,0,,,0,P,vieirth01
Jacob Webb,30,60,0,0,56.2,8,2,6,0,0,1,,,0,0,0,1.27,0.13,,,4,2,0.33,0.22,0,P,webbja01
Tyler Wells,29,3,3,0,15.1,2,0,2,0,0,1,,,0,0,0,1.17,0.67,,,1,0,0.00,0.22,0,P,wellsty01
Jordan Westburg,25,106,106,86,934.1,279,91,181,7,16,0.975,-9,-12,-10,-13,0,2.62,2.21,,,,,,,,3B-2B-SS-DH,westbjo01
Infield Shifts,,,,,,,,,,,,,,15,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-9,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,8,,,,,,,,,,,,,-9999
Team Totals,27.9,162,1458,1084,12978,5743,4326,1336,81,100,0.986,-21,-2,1,,,3.93,2.58,3,46,121,31,0.20,0.22,8,,-9999
Rank in 15 AL teams,,,,,,,,,5,,3,,,,,,,,,,,,,,,,-9999
