Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Jared Triolo,26,119,114,102,1010.2,380,149,228,3,46,0.992,2,3,7,8,1,3.36,2.97,,,,,,,,3B-2B-SS-1B-RF,triolja01
Joey Wentz,26,8,0,0,12,2,0,2,0,0,1,,,0,0,0,1.5,0.25,,,3,0,0.00,0.20,0,P,wentzjo01
Alika Williams,25,34,26,19,240.2,100,38,60,2,9,0.98,1,3,-1,-5,0,3.66,2.72,,,,,,,,2B-SS,willial04
Jake Woodford,27,7,5,0,26.2,4,0,4,0,0,1,,,1,8,0,1.35,0.57,,,3,0,0.00,0.20,0,P,woodfja01
Nick Yorke,22,11,11,9,92,26,14,11,1,3,0.962,-3,-39,-3,-39,0,2.45,2.27,,,,,,,,2B-RF-LF-3B,yorkeni01
Infield Shifts,,,,,,,,,,,,,,11,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,1,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-1,,,,,,,,,,,,,-9999
Team Totals,28,162,1458,1084,12948,5777,4316,1370,91,139,0.984,-24,-2,-7,,,3.95,2.64,12,38,154,27,0.15,0.20,11,,-9999
Rank in 15 NL teams,,,,,,,,,11,,11,,,,,,,,,,,,,,,,-9999
