Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Leo Rivas,26,39,23,19,221,75,19,54,2,8,0.973,0,-2,-1,-5,0,2.97,1.66,,,0,0,,,0,SS-2B-P-3B-DH,rivasle01
Víctor Robles,27,73,63,41,534,145,140,3,2,1,0.986,6,13,2,4,0,2.41,1.74,,,,,,,,CF-RF-LF-DH,roblevi01
Julio Rodríguez,23,131,131,122,1133.1,343,334,4,5,1,0.985,13,13,3,3,0,2.68,2.4,,,,,,,,CF-DH,rodriju01
Josh Rojas,30,141,116,88,1050.1,323,98,215,10,20,0.969,3,3,8,9,0,2.68,2.06,,,0,0,,,0,3B-2B-LF-P-1B-DH,rojasjo01
Gregory Santos,24,8,0,0,7.1,5,2,3,0,0,1,,,0,0,0,6.14,0.63,,,0,0,,,0,P,santogr01
Tayler Saucedo,31,53,0,0,38.2,10,0,9,1,0,0.9,,,0,0,0,2.09,0.17,,,6,0,0,0.22,0,P,sauceta01
Kirby Snead,29,11,0,0,10.1,5,0,5,0,0,1,,,0,0,0,4.35,0.45,,,2,2,0.5,0.22,1,P,sneadki01
Collin Snider,28,42,0,0,41.2,9,5,3,1,0,0.889,,,0,0,0,1.73,0.19,,,3,1,0.25,0.22,0,P,snideco01
Gabe Speier,29,29,0,0,23.2,3,0,3,0,0,1,,,-1,-8,0,1.14,0.1,,,5,0,0,0.22,0,P,speiega01
Ryne Stanek,32,46,0,0,39,4,3,1,0,0,1,,,0,0,0,0.92,0.09,,,1,0,0,0.22,0,P,stanery01
Samad Taylor,25,3,1,0,11.1,1,1,0,0,0,1,0,-3,0,0,0,0.79,0.33,,,,,,,,LF-CF,taylosa04
Troy Taylor,22,21,0,0,19.1,1,0,1,0,0,1,,,0,0,0,0.47,0.05,,,1,0,0,0.22,0,P,taylotr01
Trent Thornton,30,71,0,0,72.1,10,3,6,1,0,0.9,,,0,0,0,1.12,0.13,,,7,6,0.46,0.22,1,P,thorntr01
Justin Turner,39,31,28,20,241.2,221,192,27,2,10,0.991,-1,-3,1,5,0,8.16,4.66,,,,,,,,1B-3B-DH,turneju01
Luis Urías,27,38,29,20,249.1,84,27,51,6,7,0.929,2,10,0,0,0,2.82,2,,,,,,,,3B-DH,uriaslu01
Jason Vosler,30,6,4,2,36,24,21,3,0,3,1,-1,-19,0,0,0,6,2.4,,,,,,,,1B-RF-LF-DH,vosleja01
Austin Voth,32,68,0,0,61,13,10,2,1,0,0.923,,,0,0,0,1.77,0.18,,,5,0,0,0.22,0,P,vothau01
Bryan Woo,24,22,22,0,121.1,21,14,7,0,0,1,,,0,0,0,1.56,0.95,,,4,0,0,0.22,0,P,woobr01
Seby Zavala,30,18,14,9,121,95,91,3,1,0,0.989,0,-1,-2,-20,-1,6.99,5.22,0,5,11,3,0.21,0.22,0,C,zavalse01
Infield Shifts,,,,,,,,,,,,,,20,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,0,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,8,,,,,,,,,,,,,-9999
Team Totals,28.6,162,1458,1057,12897,5671,4299,1293,79,95,0.986,51,5,39,,,3.9,2.52,5,37,116,40,0.26,0.22,7,,-9999
