Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Jairo Iriarte,22,6,0,0,6,1,1,0,0,0,1,,,0,0,0,1.5,0.17,,,0,0,,,0,P,iriarja01
Eloy Jiménez,27,1,1,1,8,1,1,0,0,0,1,-1,-107,0,0,0,1.13,0.02,,,,,,,,RF-DH,jimenel02
Corey Julks,28,55,42,31,383,82,80,1,1,1,0.988,-4,-12,-4,-13,0,1.9,1.29,,,,,,,,LF-RF-CF-DH,julksco01
Brad Keller,28,5,2,0,16.2,4,3,1,0,0,1,,,0,0,0,2.16,0.8,,,1,0,0.00,0.22,0,P,kellebr01
Michael Kopech,28,43,0,0,43.2,5,3,2,0,0,1,,,-1,-5,-1,1.03,0.12,,,4,1,0.20,0.22,1,P,kopecmi01
Chad Kuhl,31,31,1,0,53.1,9,6,3,0,1,1,,,1,4,0,1.52,0.29,,,1,1,0.50,0.22,0,P,kuhlch01
Jordan Leasure,25,33,0,0,31.1,4,2,2,0,0,1,,,1,6,0,1.15,0.12,,,0,0,,,1,P,leasujo01
Korey Lee,25,113,93,88,838.1,861,824,33,4,4,0.995,-2,-2,-10,-14,-3,9.2,7.02,8,36,78,25,0.24,0.22,2,C-DH,leeko01
Dominic Leone,32,23,0,0,19,3,0,2,1,0,0.667,,,-2,-21,0,0.95,0.09,,,8,0,0.00,0.22,1,P,leonedo01
Nicky Lopez,29,122,111,100,985,437,161,272,4,57,0.991,-3,-3,-10,-12,0,3.96,3.38,,,,,,,,2B-SS,lopezni01
Martín Maldonado,37,48,46,35,388.2,391,378,11,2,0,0.995,-4,-12,-7,-22,-1,9.01,8.1,3,18,39,3,0.07,0.22,0,C,maldoma01
Davis Martin,27,11,10,0,50,13,4,8,1,0,0.923,,,2,8,0,2.16,1.09,,,2,3,0.60,0.22,0,P,martida03
Danny Mendick,30,41,35,29,308.2,106,39,64,3,10,0.972,0,0,-1,-4,0,3,2.45,,,0,0,,,0,3B-2B-P-DH,mendida01
Yoán Moncada,29,11,11,10,86,31,8,21,2,4,0.935,1,13,0,0,0,3.03,2.42,,,,,,,,3B-DH,moncayo01
Nick Nastrini,24,9,8,0,35.2,3,1,2,0,0,1,,,-2,-11,0,0.76,0.33,,,15,0,0.00,0.22,0,P,nastrni01
Rafael Ortega,33,12,4,4,50,18,18,0,0,0,1,3,61,-1,-24,0,3.24,1.38,,,,,,,,CF-RF-DH,ortegra01
Sammy Peralta,26,9,0,0,15,1,0,1,0,0,1,,,0,0,0,0.6,0.11,,,1,1,0.50,0.22,0,P,peralsa01
Tommy Pham,36,65,65,51,570.1,144,142,1,1,0,0.993,-6,-13,-11,-23,-2,2.26,1.79,,,,,,,,RF-CF-LF-DH,phamth01
Kevin Pillar,35,14,8,6,72.2,17,17,0,0,0,1,0,6,0,0,0,2.11,1.06,,,,,,,,CF-RF-DH,pillake01
Bryan Ramos,22,21,19,17,167,55,16,38,1,4,0.982,-2,-14,-1,-7,0,2.91,1.86,,,,,,,,3B-DH,ramosbr01
Zach Remillard,30,14,11,7,97,36,9,26,1,2,0.972,1,11,1,12,0,3.25,2.06,,,,,,,,2B-3B-SS-LF-CF-DH,remilza01
Luis Robert Jr.,26,97,95,92,828.2,257,254,1,2,0,0.992,-8,-12,1,1,1,2.77,2.55,,,,,,,,CF-DH,roberlu01
Chuckie Robinson,29,26,23,14,193,208,196,10,2,1,0.99,1,4,0,0,1,9.61,7.92,0,8,22,9,0.29,0.22,0,C,robinch04
Nick Senzel,29,7,7,6,58,15,7,7,1,0,0.933,-3,-54,-3,-62,0,2.17,1.56,,,,,,,,3B-RF-DH,senzeni01
