Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Kevin Kiermaier,34,81,63,47,550.1,171,167,1,3,0,0.982,0,0,9,20,0,2.75,2.05,,,,,,,,CF-RF-DH,kiermke01
Yusei Kikuchi,33,22,22,0,115.2,16,5,11,0,0,1,,,3,5,0,1.24,0.73,,,2,3,0.60,0.22,0,P,kikucyu01
Isiah Kiner-Falefa,29,81,74,55,644.2,278,94,181,3,38,0.989,8,15,12,22,-1,3.84,2.84,,,0,0,,,0,3B-2B-SS-P-CF,kineris01
Alejandro Kirk,25,93,89,77,766,759,706,46,7,6,0.991,6,10,13,20,1,8.84,7.6,7,17,60,27,0.31,0.22,4,C-DH,kirkal01
Brendon Little,27,49,0,0,45.2,15,6,9,0,2,1,,,0,0,0,2.96,0.31,,,5,0,0.00,0.22,0,P,littlbr02
Joey Loperfido,25,41,38,27,329.1,94,93,1,0,0,1,2,6,4,15,1,2.57,2,,,,,,,,LF-CF-DH-1B,loperjo01
Easton Lucas,27,2,0,0,4.2,2,1,1,0,0,1,,,0,0,0,3.86,1,,,0,0,,,0,P,lucasea01
Nathan Lukes,29,21,19,17,173,55,50,4,1,0,0.982,6,39,5,35,1,2.81,2.25,,,,,,,,LF-RF-CF-DH,lukesna01
Alek Manoah,26,5,5,0,24.1,2,1,1,0,0,1,,,0,0,0,0.74,0.4,,,2,1,0.33,0.22,0,P,manoaal01
Orelvis Martinez,22,1,1,1,8,6,1,4,1,0,0.833,0,-26,0,0,0,5.63,5,,,,,,,,2B,martior01
Tim Mayza,32,35,0,0,24.2,2,1,1,0,0,1,,,-2,-16,0,0.73,0.06,,,5,0,0.00,0.22,0,P,mayzati01
Tommy Nance,33,20,0,0,22,6,4,1,1,0,0.833,,,-2,-18,0,2.05,0.25,,,5,0,0.00,0.22,0,P,nanceto01
Wes Parsons,31,2,0,0,5,2,0,1,1,0,0.5,,,0,0,0,1.8,0.5,,,2,0,0.00,0.22,0,P,parsowe01
Nate Pearson,27,41,0,0,40,1,1,0,0,0,1,,,-2,-10,0,0.23,0.02,,,6,0,0.00,0.22,0,P,pearsna01
Zach Pop,27,58,0,0,48.1,9,3,5,1,0,0.889,,,-2,-8,0,1.49,0.14,,,3,0,0.00,0.22,0,P,popza01
Trevor Richards,31,45,2,0,52.1,5,1,2,2,0,0.6,,,1,4,0,0.52,0.07,,,1,2,0.67,0.22,0,P,richatr01
Nick Robertson,25,1,0,0,1,1,0,1,0,0,1,,,0,0,0,9,1,,,0,0,,,0,P,roberni01
