Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos Summary,Name-additional
Roansy Contreras,24,37,3,0,52,8,1,6,1,0,0.875,,,0,0,0,1.21,0.19,,,7,0,0,0.22,0,P,contrro01
Hans Crouse,25,25,0,0,25.1,3,0,2,1,0,0.667,,,-1,-8,0,0.71,0.08,,,4,1,0.2,0.22,0,P,crousha01
Johnny Cueto,38,2,2,0,11.1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,cuetojo01
Caden Dana,20,3,3,0,10.1,1,1,0,0,0,1,,,0,0,0,0.87,0.33,,,1,0,0,0.22,0,P,danaca01
Davis Daniel,27,6,6,0,30.1,4,3,0,1,0,0.75,,,0,0,1,0.89,0.5,,,2,2,0.5,0.22,0,P,danieda01
Reid Detmers,24,17,17,0,87.1,8,3,5,0,0,1,,,-2,-5,0,0.82,0.47,,,14,3,0.18,0.22,2,P,detmere01
Brandon Drury,31,80,73,64,656.2,346,174,167,5,48,0.986,4,8,-4,-7,0,4.67,3.34,,,,,,,,2B-3B-1B-DH,drurybr01
Carlos Estévez,31,34,0,0,34,2,0,2,0,0,1,,,0,0,0,0.53,0.06,,,1,1,0.5,0.22,0,P,estevca01
Carson Fulmer,30,37,8,0,86.2,9,2,5,2,0,0.778,,,0,0,0,0.73,0.19,,,4,2,0.33,0.22,2,P,fulmeca01
Luis García,37,45,0,0,43.2,4,3,1,0,0,1,,,-2,-9,0,0.82,0.09,,,7,1,0.13,0.22,0,P,garcilu03
Amir Garrett,32,6,0,0,5.1,0,0,0,0,0,,,,-1,-38,,0,0,,,5,0,0,0.22,0,P,garream01
Niko Goodrum,32,4,4,4,36,11,8,1,2,1,0.818,-4,-148,-3,-100,0,2.25,2.25,,,,,,,,3B-1B,goodrni01
Luis Guillorme,29,50,29,23,291.1,119,46,71,2,19,0.983,1,6,0,0,0,3.61,2.21,,,0,0,,,0,2B-3B-SS-P-DH,guilllu01
Aaron Hicks,34,14,9,8,87.2,19,19,0,0,0,1,-2,-32,-2,-5,0,1.95,1,,,0,0,,,0,RF-CF-LF-P-DH,hicksaa01
Keston Hiura,27,5,4,1,33,11,3,7,1,1,0.909,-1,-33,-1,-36,0,2.73,1.25,,,,,,,,2B-DH,hiurake01
Ben Joyce,23,31,1,0,34.2,5,3,1,1,0,0.8,,,-2,-12,0,1.04,0.13,,,0,1,1,0.22,0,P,joycebe01
Niko Kavadas,25,5,5,5,43,48,47,1,0,2,1,1,18,0,0,0,10.05,1.71,,,,,,,,1B-DH,kavadni01
Jack Kochanowicz,23,11,11,0,65.1,10,3,7,0,1,1,,,1,3,0,1.38,0.91,,,2,2,0.5,0.22,0,P,kochaja01
Zac Kristofak,26,1,0,0,2,0,0,0,0,0,,,,0,0,,0,0,,,2,0,0,0.22,0,P,kristza01
Charles Leblanc,28,10,6,3,54,30,17,12,1,3,0.967,-1,-25,-1,-22,0,4.83,2.42,,,,,,,,3B-2B-1B-DH,leblach01
Jack López,31,27,18,11,171,103,40,59,4,24,0.961,1,7,-1,-7,1,5.21,3.41,,,,,,,,2B-SS-RF,lopezja03
José Marte,28,14,0,0,19.1,4,1,3,0,0,1,,,1,10,0,1.86,0.29,,,1,0,0,0.22,0,P,martejo01
Victor Mederos,23,4,0,0,5.1,1,0,1,0,0,1,,,0,0,0,1.69,0.25,,,1,0,0,0.22,0,P,medervi01
Ryan Miller,28,13,0,0,13,2,1,1,0,0,1,,,1,15,0,1.38,0.15,,,1,1,0.5,0.22,0,P,millery01
Mickey Moniak,26,117,107,89,932,277,270,3,4,0,0.986,5,6,-4,-5,-2,2.64,2.24,,,,,,,,CF-RF-LF-DH,moniami01
