Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Daniel Palencia,24,10,0,0,14.2,1,0,1,0,0,1,,,0,0,0,0.61,0.1,,,0,0,,,0,P,palenda01
Enoli Paredes,28,1,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,pareden01
Isaac Paredes,25,50,48,43,426.1,128,24,95,9,5,0.93,-1,-3,-1,-3,0,2.51,2.38,,,,,,,,3B,paredis01
Nate Pearson,27,19,1,0,26.1,0,0,0,0,0,,,,0,0,,0,0,,,1,2,0.67,0.20,0,P,pearsna01
Ethan Roberts,26,21,0,0,26.2,3,1,2,0,0,1,,,1,8,0,1.01,0.14,,,1,1,0.50,0.21,1,P,roberet01
Drew Smyly,35,50,0,0,58.2,7,3,3,1,0,0.857,,,-2,-7,0,0.92,0.12,,,7,1,0.13,0.20,2,P,smylydr01
Justin Steele,28,24,24,1,134.2,10,3,7,0,0,1,,,-1,-1,0,0.67,0.42,,,9,2,0.18,0.20,1,P,steelju01
Seiya Suzuki,29,73,72,69,625,158,150,5,3,3,0.981,-2,-4,2,4,1,2.23,1.17,,,,,,,,RF-LF-DH,suzukse01
Dansby Swanson,30,148,146,137,1273.1,506,166,335,5,56,0.99,1,1,7,7,-1,3.54,3.39,,,,,,,,SS,swansda01
Jameson Taillon,32,28,28,0,165.1,26,14,11,1,0,0.962,,,-2,-2,0,1.36,0.89,,,14,0,0.00,0.20,1,P,taillja01
Mike Tauchman,33,75,54,42,521,115,113,1,1,1,0.991,-6,-14,-5,-12,0,1.97,1.11,,,,,,,,RF-LF-CF-DH,tauchmi01
Keegan Thompson,29,24,0,0,30.1,4,1,1,2,0,0.5,,,-1,-7,0,0.59,0.08,,,2,0,0.00,0.21,0,P,thompke02
Jesús Tinoco,29,2,0,0,4,2,0,2,0,0,1,,,0,0,0,4.5,1,,,0,0,,,0,P,tinocje01
Luis Vázquez,24,10,3,2,37,18,6,11,1,1,0.944,0,16,0,0,0,4.14,1.7,,,,,,,,SS-3B-2B,vazqulu01
Hayden Wesneski,26,28,7,0,67.2,17,8,7,2,1,0.882,,,-1,-3,0,2,0.54,,,3,0,0.00,0.20,0,P,wesneha01
Jordan Wicks,24,11,10,0,46,4,0,4,0,1,1,,,-1,-4,0,0.78,0.36,,,5,1,0.17,0.20,1,P,wicksjo01
Trey Wingenter,30,5,0,0,6,1,0,1,0,0,1,,,0,0,0,1.5,0.2,,,1,0,0.00,0.20,0,P,wingetr01
Patrick Wisdom,32,50,30,13,265,164,132,27,5,9,0.97,0,-1,-1,-5,0,5.4,2.37,,,0,0,,,0,1B-3B-RF-LF-2B-P-DH,wisdopa01
Infield Shifts,,,,,,,,,,,,,,11,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,8,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,1,,,,,,,,,,,,,-9999
Team Totals,28.2,162,1458,1083,12891,5722,4297,1349,76,91,0.987,12,1,37,,,3.94,2.62,7,40,118,31,0.21,0.20,18,,-9999
Rank in 15 NL teams,,,,,,,,,5,,3,,,,,,,,,,,,,,,,-9999
