Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,Pos-Summary,Name-additional
238,Luis Castillo,31,SEA,AL,30,30,0,175.1,12,6,5,1,1,.917,,,-2,-2,0,0.56,0.37,P,castilu02
239,Miguel Castro,29,ARI,NL,11,0,0,13.2,4,0,4,0,0,1.000,,,1,15,0,2.63,0.36,P,castrmi01
240,Willi Castro,27,MIN,AL,158,150,116,1334.1,433,247,178,8,24,.982,-27,-24,-18,-16,0,2.87,2.31,SS-OF-2B-3B-P,castrwi01
241,Jake Cave,31,COL,NL,116,83,61,790.2,190,184,5,1,1,.995,-9,-13,-6,-9,-2,2.15,1.63,OF,caveja01
242,Dylan Cease,28,SDP,NL,33,33,1,189.1,27,10,17,0,0,1.000,,,2,2,0,1.28,0.82,P,ceasedy01
243,Slade Cecconi,25,ARI,NL,20,13,0,77.0,9,3,6,0,0,1.000,,,0,0,0,1.05,0.45,P,ceccosl01
244,Andrew Chafin,34,TOT,AL,62,0,0,56.1,5,3,2,0,0,1.000,,,0,0,0,0.80,0.08,P,chafian01
245,Andrés Chaparro,25,WSN,NL,12,12,10,102.0,89,80,9,0,11,1.000,1,9,-1,-12,-1,7.85,7.42,1B,chapaan01
246,Aroldis Chapman,36,PIT,NL,68,0,0,61.2,9,2,7,0,0,1.000,,,0,0,0,1.31,0.13,P,chapmar01
247,Matt Chapman,31,SFG,NL,154,153,147,1338.0,405,100,290,15,34,.963,15,13,17,15,2,2.62,2.53,3B,chapmma01
248,JT Chargois,33,TOT,ZZ,36,0,0,36.1,3,1,2,0,0,1.000,,,1,33,0,0.74,0.08,P,chargjt01
249,Jesse Chavez,40,ATL,NL,46,0,0,63.1,11,2,8,1,0,.909,,,0,0,0,1.42,0.22,P,chaveje01
250,Yonny Chirinos,30,MIA,NL,6,6,0,30.0,6,4,2,0,0,1.000,,,-1,-7,0,1.80,1.00,P,chiriyo01
251,Jazz Chisholm Jr.,26,TOT,MLB,143,142,130,1251.2,357,268,80,9,7,.975,-7,-7,-6,-5,-3,2.50,2.40,OF-3B-2B,chishja01
252,Angel Chivilli,21,COL,NL,30,0,0,31.2,9,4,5,0,1,1.000,,,0,0,0,2.56,0.30,P,chivian01
253,Jackson Chourio,20,MIL,NL,146,135,112,1207.0,290,286,4,0,0,1.000,13,13,12,11,-2,2.16,1.99,OF,chourja01
254,Marc Church,23,TEX,AL,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,churcma01
255,Adam Cimber,33,LAA,AL,28,0,0,24.1,4,0,4,0,1,1.000,,,1,8,0,1.48,0.14,P,cimbead01
256,José Cisnero,35,LAA,AL,15,0,0,15.2,2,1,0,1,0,.500,,,-1,-13,0,0.57,0.07,P,cisnejo01
257,Aaron Civale,29,TOT,ZZ,31,31,0,161.0,20,10,10,0,0,1.000,,,1,7,0,1.12,0.65,P,civalaa01
258,Emmanuel Clase,26,CLE,AL,74,0,0,74.1,11,4,5,2,1,.818,,,-1,-3,0,1.09,0.12,P,claseem01
259,Jonatan Clase,22,TOT,AL,22,18,14,161.0,33,33,0,0,0,1.000,0,2,-2,-14,0,1.84,1.50,OF,clasejo01
260,Garrett Cleavinger,30,TBR,AL,68,0,0,60.0,6,0,6,0,0,1.000,,,-4,-13,0,0.90,0.09,P,cleavga01
261,Kody Clemens,28,PHI,NL,40,24,20,239.0,145,105,37,3,10,.979,2,8,2,10,1,5.35,3.38,1B-3B-2B-OF-P,clemeko01
262,Ernie Clement,28,TOR,AL,134,109,97,999.1,370,117,240,13,39,.965,10,12,15,18,1,3.22,2.50,3B-SS-2B-OF-P,clemeer01
263,Mike Clevinger,33,CHW,AL,4,4,0,16.0,3,0,3,0,1,1.000,,,0,0,0,1.69,0.75,P,clevimi01
264,Alex Cobb,36,CLE,AL,3,3,0,16.1,5,2,3,0,1,1.000,,,0,0,0,2.76,1.67,P,cobbal01
265,Oscar Colás,25,CHW,AL,11,8,6,75.1,16,16,0,0,0,1.000,-1,-18,0,0,0,1.91,1.45,OF,colasos01
266,Gerrit Cole,33,NYY,AL,17,17,0,95.0,10,4,6,0,0,1.000,,,-2,-4,0,0.95,0.59,P,colege01
267,Dylan Coleman,27,HOU,AL,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,colemdy01
268,Isaac Collins,26,MIL,NL,7,3,1,35.0,10,7,2,1,0,.900,-1,-25,-1,-34,0,2.31,1.29,OF-2B,colliis01
269,Michael Conforto,31,SFG,NL,106,95,84,835.0,159,152,5,2,1,.987,-6,-8,0,0,2,1.69,1.48,OF,confomi01
270,Griffin Conine,26,MIA,NL,25,21,17,185.0,46,41,4,1,2,.978,1,6,6,38,1,2.19,1.80,OF,coningr01
271,Luis Contreras,28,HOU,AL,5,0,0,6.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,contrlu01
272,Roansy Contreras,24,TOT,ZZ,49,3,0,68.1,10,3,6,1,0,.900,,,0,0,0,1.19,0.18,P,contrro01
273,William Contreras,26,MIL,NL,120,119,115,1060.0,1099,1054,37,8,2,.993,6,6,6,7,-2,9.26,9.09,C,contrwi02
274,Willson Contreras,32,STL,NL,51,50,48,431.2,383,359,21,3,1,.992,0,0,0,0,2,7.92,7.45,C,contrwi01
275,Billy Cook,25,PIT,NL,16,14,11,120.0,59,56,2,1,4,.983,2,24,6,60,0,4.35,3.41,OF-1B,cookbi01
276,Garrett Cooper,33,TOT,MLB,16,12,6,104.0,88,78,9,1,9,.989,1,7,-2,-23,-1,7.53,5.12,1B-OF,coopega03
277,Patrick Corbin,34,WSN,NL,32,32,0,174.2,25,3,22,0,1,1.000,,,1,1,0,1.29,0.78,P,corbipa01
278,Carlos Correa,29,MIN,AL,84,84,76,712.1,293,119,169,5,26,.983,1,2,-3,-5,2,3.64,3.43,SS,correca01
279,Nestor Cortes,29,NYY,AL,31,30,0,174.1,15,5,10,0,1,1.000,,,2,2,0,0.77,0.48,P,cortene01
280,Tom Cosgrove,28,SDP,NL,18,0,0,14.2,2,0,2,0,0,1.000,,,1,14,0,1.23,0.11,P,cosgrto01
281,Danny Coulombe,34,BAL,AL,33,0,0,29.2,3,0,3,0,0,1.000,,,1,7,0,0.91,0.09,P,couloda01
282,Jake Cousins,29,NYY,AL,37,0,0,38.0,6,0,6,0,0,1.000,,,-1,-5,0,1.42,0.16,P,cousija01
283,Colton Cowser,24,BAL,AL,146,133,98,1192.2,312,308,3,1,0,.997,6,6,3,3,0,2.35,2.13,OF,cowseco01
284,Brandon Crawford,37,STL,NL,25,21,15,179.0,67,18,48,1,10,.985,-1,-10,-1,-7,0,3.32,2.64,SS-3B-P,crawfbr01
285,J.P. Crawford,29,SEA,AL,104,103,96,894.2,328,113,212,3,36,.991,13,17,9,12,0,3.27,3.13,SS,crawfjp01
