Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
46,P,Andrew Saalfrank*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,saalfan01
47,P,Miguel Castro,29,0,0,,,,,,,,,,,,,,,,,,,,,,,castrmi01
48,P,Ryne Nelson,26,0,0,,,,,,,,,,,,,,,,,,,,,,,nelsory01
49,P,Dylan Floro*,33,0,0,,,,,,,,,,,,,,,,,,,,,,,florody01
50,P,Justin Martinez,22,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,martiju01
51,P,Merrill Kelly,35,0,0,,,,,,,,,,,,,,,,,,,,,,,kellyme01
,,Team Totals,28.6,162,6284,5522,886,1452,271,37,211,845,119,30,569,1265,.263,.337,.440,.777,115,2430,112,84,34,66,17,-9999
,,Rank in 15 NL teams,,,,3,1,2,6,1,3,,9,8,3,3,1,1,2,2,,2,,3,,1,,-9999
,,Non-Pitcher Totals,28.6,162,6283,5521,886,1452,271,37,211,845,119,30,569,1264,.263,.337,.440,.777,115,2430,112,84,34,66,17,-9999
,,Pitcher Totals,8.5,162,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,-9999
