Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
17,1B,Ryan Noda*,28,36,111,95,8,13,4,0,1,4,0,0,14,37,.137,.255,.211,.465,38,20,0,1,1,0,0,nodary01
18,SS,Nick Allen,25,41,105,97,6,17,4,0,1,4,0,0,5,20,.175,.216,.247,.463,35,24,0,0,3,0,0,allenni02
19,SS,Jacob Wilson,22,28,103,92,11,23,2,2,0,3,0,0,8,10,.250,.314,.315,.629,85,29,4,1,1,1,0,wilsoja05
20,OF,Esteury Ruiz,25,29,65,55,10,11,2,1,2,8,5,4,4,20,.200,.270,.382,.652,87,21,1,2,2,2,0,ruizes01
21,UT,Armando Alvarez,29,16,39,37,7,9,1,0,0,2,1,0,2,8,.243,.282,.270,.552,63,10,1,0,0,0,0,alvarar01
22,UT,Aledmys Díaz,33,12,30,29,2,3,0,0,0,1,0,0,1,7,.103,.133,.103,.237,-29,3,0,0,0,0,0,diazal02
23,CI,Tristan Gray*,28,8,24,21,0,3,1,0,0,0,0,0,3,13,.143,.250,.190,.440,31,4,0,0,0,0,0,graytr01
24,P,Mitch Spence,26,0,0,,,,,,,,,,,,,,,,,,,,,,,spencmi01
25,P,Paul Blackburn,30,0,0,,,,,,,,,,,,,,,,,,,,,,,blackpa01
26,P,Joe Boyle,24,0,0,,,,,,,,,,,,,,,,,,,,,,,boylejo01
27,P,Mason Miller,25,0,0,,,,,,,,,,,,,,,,,,,,,,,millema03
28,P,Janson Junk,28,0,0,,,,,,,,,,,,,,,,,,,,,,,junkja01
29,P,Scott Alexander*,34,0,0,,,,,,,,,,,,,,,,,,,,,,,alexasc02
30,P,Sean Newcomb*,31,0,0,,,,,,,,,,,,,,,,,,,,,,,newcose01
31,P,Hogan Harris,27,0,0,,,,,,,,,,,,,,,,,,,,,,,harriho03
32,P,Joey Estes,22,0,0,,,,,,,,,,,,,,,,,,,,,,,estesjo01
33,P,Austin Adams,33,0,0,,,,,,,,,,,,,,,,,,,,,,,adamsau02
34,P,Brady Basso,26,0,0,,,,,,,,,,,,,,,,,,,,,,,bassobr01
35,P,Michel Otañez,26,0,0,,,,,,,,,,,,,,,,,,,,,,,otanemi01
36,P,Lucas Erceg*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,erceglu01
37,P,Osvaldo Bido,28,0,0,,,,,,,,,,,,,,,,,,,,,,,bidoos01
38,P,J.T. Ginn,25,0,0,,,,,,,,,,,,,,,,,,,,,,,ginnjt01
39,P,Jack O'Loughlin*,24,0,0,,,,,,,,,,,,,,,,,,,,,,,olougja01
40,P,T.J. McFarland*,35,0,0,,,,,,,,,,,,,,,,,,,,,,,mcfartj01
41,P,Gerardo Reyes,31,0,0,,,,,,,,,,,,,,,,,,,,,,,reyesge01
42,P,Grant Holman,24,0,0,,,,,,,,,,,,,,,,,,,,,,,holmagr01
43,P,Dany Jiménez,30,0,0,,,,,,,,,,,,,,,,,,,,,,,jimenda01
44,P,Luis Medina,25,0,0,,,,,,,,,,,,,,,,,,,,,,,medinlu02
45,P,Will Klein,24,0,0,,,,,,,,,,,,,,,,,,,,,,,kleinwi01
46,P,Brandon Bielak*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,bielabr01
47,P,JP Sears,28,0,0,,,,,,,,,,,,,,,,,,,,,,,searsjp01
48,P,Kyle Muller,26,0,0,,,,,,,,,,,,,,,,,,,,,,,mulleky01
49,P,Tyler Ferguson,30,0,0,,,,,,,,,,,,,,,,,,,,,,,ferguty01
50,P,Vinny Nittoli,33,0,0,,,,,,,,,,,,,,,,,,,,,,,nittovi01
51,P,Alex Wood,33,0,0,,,,,,,,,,,,,,,,,,,,,,,woodal02
52,P,Aaron Brooks,34,0,0,,,,,,,,,,,,,,,,,,,,,,,brookaa01
53,P,Ross Stripling,34,0,0,,,,,,,,,,,,,,,,,,,,,,,stripro01
54,P,Michael Kelly,31,0,0,,,,,,,,,,,,,,,,,,,,,,,kellymi03
55,P,Easton Lucas*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,lucasea01
,,Team Totals,26.6,162,6034,5432,643,1267,240,19,196,619,98,26,493,1502,.233,.301,.393,.694,101,2133,105,53,19,37,11,-9999
,,Rank in 15 AL teams,,,,8,12,10,11,8,3,,7,7,4,13,11,12,8,9,,7,,11,,10,,-9999
