Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Mitch Spence,26,35,24,0,151.1,24,11,12,1,1,0.958,,,0,0,0,1.37,0.66,,,15,7,0.32,0.22,0,P,spencmi01
Ross Stripling,34,22,14,0,85.1,14,5,8,1,0,0.929,,,-1,-2,0,1.37,0.59,,,7,1,0.13,0.22,1,P,stripro01
Abraham Toro,27,79,71,57,614.1,217,84,128,5,18,0.977,-3,-6,-2,-4,0,3.11,2.3,,,,,,,,3B-2B-1B-LF-DH,toroab01
Jacob Wilson,22,27,27,24,236,101,32,69,0,16,1,-6,-29,-4,-20,1,3.85,3.74,,,,,,,,SS,wilsoja05
Alex Wood,33,9,9,0,39.1,9,2,7,0,1,1,,,2,10,0,2.06,1,,,3,3,0.5,0.22,1,P,woodal02
Infield Shifts,,,,,,,,,,,,,,17,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-6,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,4,,,,,,,,,,,,,-9999
Team Totals,27.2,162,1458,1064,12930,5754,4310,1360,84,142,0.985,-37,-3,-64,,,3.95,2.55,12,60,114,37,0.25,0.22,10,,-9999
Rank in 15 AL teams,,,,,,,,,6,,6,,,,,,,,,,,,,,,,-9999
