Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Kyle Leahy,27,33,0,0,48.2,5,1,3,1,1,0.8,,,0,0,0,0.74,0.12,,,0,2,1.00,0.21,0,P,leahyky01
Matthew Liberatore,24,60,6,0,86,22,4,17,1,2,0.955,,,3,7,0,2.2,0.35,,,7,1,0.13,0.20,1,P,liberma01
Ryan Loutos,25,3,0,0,2.1,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.20,0,P,loutory01
Lance Lynn,37,23,23,0,117.1,10,5,3,2,0,0.8,,,-4,-7,0,0.61,0.35,,,16,3,0.16,0.20,0,P,lynnla01
Steven Matz,33,12,7,0,44.1,10,2,7,1,2,0.9,,,1,5,0,1.83,0.75,,,2,1,0.33,0.20,0,P,matzst01
Michael McGreevy,23,4,3,0,23,8,1,7,0,0,1,,,1,9,0,3.13,2,,,0,0,,,0,P,mcgremi01
Miles Mikolas,35,32,32,0,171.2,26,13,11,2,1,0.923,,,-1,-1,0,1.26,0.75,,,8,2,0.20,0.20,0,P,mikolmi01
Lars Nootbaar,26,107,98,69,863,214,209,2,3,2,0.986,-3,-5,0,0,-1,2.2,1.65,,,,,,,,RF-LF-CF,nootbla01
Riley O'Brien,29,8,0,0,8,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,obrieri01
Pedro Pagés,25,67,60,56,543.2,521,490,28,3,1,0.994,-2,-5,3,7,1,8.58,7.73,3,15,61,14,0.19,0.20,0,C-1B,pagespe02
Andre Pallante,25,29,20,0,121.1,33,17,16,0,2,1,,,-3,-5,0,2.45,1.14,,,26,6,0.19,0.20,3,P,pallaan01
Tommy Pham,36,22,17,15,157.2,25,25,0,0,0,1,-4,-32,-3,-23,0,1.43,1,,,,,,,,LF-RF-DH,phamth01
Nick Robertson,25,8,0,0,12.1,1,1,0,0,0,1,,,0,0,0,0.73,0.13,,,1,0,0.00,0.20,0,P,roberni01
JoJo Romero,27,65,0,0,59,6,0,6,0,0,1,,,2,7,0,0.92,0.09,,,1,2,0.67,0.20,0,P,romerjo01
Chris Roycroft,27,27,0,0,34.1,9,1,7,1,1,0.889,,,-1,-6,0,2.1,0.3,,,4,0,0.00,0.20,0,P,roycrch01
Thomas Saggese,22,18,13,13,123.1,63,17,43,3,9,0.952,0,1,-1,-10,0,4.38,3.33,,,,,,,,2B-SS-3B,saggeth01
Victor Scott II,23,52,40,37,376,97,95,0,2,0,0.979,-4,-14,-1,-3,-1,2.27,1.79,,,,,,,,CF-RF-LF,scottvi01
Michael Siani,24,121,98,70,877.1,243,242,1,0,0,1,12,16,9,12,-2,2.49,1.96,,,,,,,,CF-RF-LF-DH,sianimi01
Zack Thompson,26,5,2,0,17,3,2,1,0,0,1,,,0,0,0,1.59,0.6,,,3,0,0.00,0.20,0,P,thompza02
Jordan Walker,22,48,46,22,367.1,67,64,2,1,1,0.985,-1,-4,-4,-13,-1,1.62,1.35,,,,,,,,RF-DH,walkejo02
Masyn Winn,22,148,143,141,1285.1,611,191,402,18,100,0.971,10,10,14,13,2,4.15,3.98,,,,,,,,SS-DH,winnma01
Infield Shifts,,,,,,,,,,,,,,19,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,4,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,10,,,,,,,,,,,,,-9999
Team Totals,27.9,162,1458,1094,12996,5932,4332,1525,75,155,0.987,-4,0,29,,,4.06,2.74,8,43,153,29,0.16,0.20,7,,-9999
Rank in 15 NL teams,,,,,,,,,3,,3,,,,,,,,,,,,,,,,-9999
