k,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
17,2B,Ryan Bliss,24,33,71,63,10,14,3,1,2,9,5,3,5,22,.222,.290,.397,.687,102,25,1,1,2,0,0,blissry01
18,1B,Tyler Locklear,23,16,49,45,3,7,1,0,2,3,1,0,3,20,.156,.224,.311,.536,57,14,3,1,0,0,0,locklty01
19,LF,Jonatan Clase#,22,19,43,41,4,8,1,0,0,3,3,0,2,14,.195,.233,.220,.452,36,9,1,0,0,0,0,clasejo01
20,C,Seby Zavala,30,18,43,39,4,6,2,0,1,2,0,0,3,16,.154,.214,.282,.496,46,11,2,0,1,0,0,zavalse01
21,UT,Jason Vosler*,30,10,30,28,2,5,1,1,0,3,0,0,2,9,.179,.233,.286,.519,53,8,0,0,0,0,0,vosleja01
22,OF,Sam Haggerty#,30,8,16,15,1,1,0,0,0,1,1,0,1,4,.067,.125,.067,.192,-41,1,0,0,0,0,0,haggesa01
23,OF,Cade Marlowe*,27,8,9,8,1,2,0,0,0,0,0,0,1,1,.250,.333,.250,.583,77,2,1,0,0,0,0,marloca01
24,OF,Samad Taylor,25,3,5,5,2,2,0,0,0,0,0,0,0,1,.400,.400,.400,.800,139,2,0,0,0,0,0,taylosa04
25,P,Luis Castillo,31,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,castilu02
26,P,Trent Thornton,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,thorntr01
27,P,Jhonathan Díaz*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,diazjh01
28,P,Cody Bolton,26,0,0,,,,,,,,,,,,,,,,,,,,,,,boltoco01
29,P,Bryan Woo,24,0,0,,,,,,,,,,,,,,,,,,,,,,,woobr01
30,P,Gabe Speier*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,speiega01
31,P,Kirby Snead*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,sneadki01
32,P,Gregory Santos,24,0,0,,,,,,,,,,,,,,,,,,,,,,,santogr01
33,P,Eduard Bazardo,28,0,0,,,,,,,,,,,,,,,,,,,,,,,bazared01
34,P,Troy Taylor,22,0,0,,,,,,,,,,,,,,,,,,,,,,,taylotr01
35,P,George Kirby,26,0,0,,,,,,,,,,,,,,,,,,,,,,,kirbyge01
36,P,Tyson Miller,28,0,0,,,,,,,,,,,,,,,,,,,,,,,millety01
37,P,Andrés Muñoz,25,0,0,,,,,,,,,,,,,,,,,,,,,,,munozan01
38,P,Jonathan Hernández,27,0,0,,,,,,,,,,,,,,,,,,,,,,,hernajo02
39,P,Yimi García,33,0,0,,,,,,,,,,,,,,,,,,,,,,,garciyi01
40,P,Collin Snider,28,0,0,,,,,,,,,,,,,,,,,,,,,,,snideco01
41,P,Ryne Stanek,32,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,stanery01
42,P,Matt Bowman,33,0,0,,,,,,,,,,,,,,,,,,,,,,,bowmama01
43,P,Logan Gilbert,27,0,0,,,,,,,,,,,,,,,,,,,,,,,gilbelo01
44,P,Brett de Geus,26,0,0,,,,,,,,,,,,,,,,,,,,,,,degeubr01
45,P,Bryce Miller,25,0,0,,,,,,,,,,,,,,,,,,,,,,,millebr04
46,P,JT Chargois#,33,0,0,,,,,,,,,,,,,,,,,,,,,,,chargjt01
47,P,Mike Baumann,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,baumami01
48,P,Emerson Hancock,25,0,0,,,,,,,,,,,,,,,,,,,,,,,hancoem01
49,P,Tayler Saucedo*,31,0,0,,,,,,,,,,,,,,,,,,,,,,,sauceta01
50,P,Austin Voth,32,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,vothau01
,,Team Totals,29.0,162,6067,5330,676,1195,228,13,185,642,140,28,571,1625,.224,.311,.376,.687,103,2004,106,116,14,34,14,-9999
,,Rank in 15 AL teams,,,,14,10,14,12,14,6,,4,9,2,15,14,7,12,10,,12,,1,,12,,-9999
,,Non-Pitcher Totals,29.0,162,6066,5329,676,1195,228,13,185,642,140,28,571,1624,.224,.311,.376,.687,103,2004,106,116,14,34,14,-9999
,,Pitcher Totals,8.6,162,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,-9999
