Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Nick Loftin,25,51,39,28,341.1,160,67,89,4,21,0.975,0,1,4,14,0,4.11,2.52,,,0,0,,,0,2B-3B-1B-LF-P-DH,loftini01
Sam Long,28,43,0,0,42.2,7,1,6,0,1,1,,,0,0,0,1.48,0.16,,,0,0,,,0,P,longsa01
Michael Lorenzen,32,7,6,0,28.2,4,1,1,2,1,0.5,,,0,0,0,0.63,0.29,,,0,0,,,0,P,lorenmi01
Seth Lugo,34,33,33,1,206.2,43,14,29,0,3,1,,,5,5,-1,1.87,1.3,,,5,5,0.5,0.22,0,P,lugose01
Jordan Lyles,33,5,0,0,5,1,1,0,0,0,1,,,0,0,0,1.8,0.2,,,0,0,,,0,P,lylesjo01
Daniel Lynch IV,27,16,3,0,43.1,10,3,6,1,1,0.9,,,0,0,0,1.87,0.56,,,3,1,0.25,0.22,0,P,lynchda02
Alec Marsh,26,26,25,0,129,24,9,11,4,0,0.833,,,1,2,0,1.4,0.77,,,9,2,0.18,0.22,3,P,marshal01
Michael Massey,26,82,70,55,623.1,302,122,177,3,39,0.99,0,0,0,0,-1,4.32,3.11,,,,,,,,2B-DH,massemi02
James McArthur,27,57,0,0,56.2,14,4,9,1,0,0.929,,,3,11,0,2.06,0.23,,,3,1,0.25,0.22,1,P,mcartja01
MJ Melendez,25,123,115,82,964.2,197,193,2,2,1,0.99,-8,-10,-7,-9,-2,1.82,1.48,,,,,,,,LF-RF-1B-DH,melenmj01
Vinnie Pasquantino,26,103,103,92,893,878,805,71,2,76,0.998,4,6,-3,-4,-3,8.83,6.84,,,,,,,,1B-DH,pasquvi01
Walter Pennington,26,1,0,0,0.2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,penniwa01
Salvador Perez,34,136,134,110,1157.1,1119,1064,50,5,38,0.996,9,9,-4,-4,-2,8.66,6.79,3,30,37,11,0.23,0.22,1,C-1B-DH,perezsa02
Tommy Pham,36,18,18,15,160,36,34,2,0,0,1,3,20,4,30,0,2.03,1.44,,,,,,,,LF-RF-DH,phamth01
Nick Pratto,25,1,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,prattni01
Cole Ragans,26,32,32,1,186.1,26,7,19,0,1,1,,,3,3,0,1.26,0.81,,,8,3,0.27,0.22,1,P,raganco01
Hunter Renfroe,32,116,105,96,934.2,212,201,9,2,3,0.991,0,-1,-4,-5,2,2.02,1.75,,,,,,,,RF-1B-DH,renfrhu01
Matt Sauer,25,14,0,0,16.1,2,0,2,0,0,1,,,0,0,0,1.1,0.14,,,0,0,,,0,P,sauerma01
John Schreiber,30,59,0,0,51.2,11,6,4,1,0,0.909,,,-1,-4,0,1.74,0.17,,,1,0,0,0.22,0,P,schrejo01
Colin Selby,26,2,0,0,3,2,2,0,0,0,1,,,0,0,0,6,1,,,1,0,0,0.22,0,P,selbyco01
Brady Singer,27,32,32,0,179.2,34,14,19,1,0,0.971,,,3,3,0,1.65,1.03,,,3,6,0.67,0.22,0,P,singebr01
