Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Yoendrys Gómez,24,5,0,0,11.1,2,1,1,0,0,1,,,0,0,0,1.59,0.4,,,0,0,,,0,P,gomezyo01
Victor González,28,27,0,0,23.1,6,3,3,0,0,1,,,1,9,0,2.31,0.22,,,0,1,1.00,0.22,1,P,gonzavi02
Trent Grisham,27,69,52,44,485.1,146,141,3,2,2,0.986,1,3,0,0,-1,2.67,1.89,,,,,,,,CF-DH,grishtr01
Ian Hamilton,29,35,0,0,37.2,5,5,0,0,1,1,,,-1,-5,0,1.19,0.14,,,3,0,0.00,0.22,0,P,hamilia01
Tim Hill,34,35,0,0,44,19,3,16,0,1,1,,,1,5,0,3.89,0.54,,,1,0,0.00,0.22,0,P,hillti01
Clay Holmes,31,67,0,0,63,10,6,4,0,0,1,,,-2,-6,0,1.43,0.15,,,4,1,0.20,0.22,0,P,holmecl01
Jahmai Jones,26,19,5,4,69,25,16,8,1,1,0.96,1,11,0,0,0,3.13,0.89,,,,,,,,LF-2B-RF-3B-DH,jonesja08
Aaron Judge,32,117,117,98,1010,283,279,4,0,2,1,2,2,-8,-10,1,2.52,1.78,,,,,,,,CF-RF-LF-DH,judgeaa01
Tommy Kahnle,34,50,0,0,42.2,6,4,2,0,0,1,,,-2,-9,0,1.27,0.12,,,2,0,0.00,0.22,0,P,kahnlto01
Mark Leiter Jr.,33,21,0,0,21.2,3,0,2,1,0,0.667,,,1,9,0,0.83,0.1,,,2,0,0.00,0.22,0,P,leitema02
DJ LeMahieu,35,66,55,42,511.1,297,212,82,3,20,0.99,-5,-11,-5,-12,0,5.17,3.97,,,,,,,,3B-1B,lemahdj01
Jonathan Loáisiga,29,3,0,0,4,3,1,2,0,0,1,,,0,0,0,6.75,1,,,0,0,,,0,P,loaisjo01
Josh Maciejewski,28,4,0,0,7,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,maciejo01
Ron Marinaccio,28,16,0,0,23.1,4,1,2,1,0,0.75,,,-1,-9,0,1.16,0.19,,,7,0,0.00,0.22,0,P,marinro01
Tim Mayza,32,15,0,0,18,8,3,5,0,1,1,,,0,0,0,4,0.53,,,4,2,0.33,0.22,0,P,mayzati01
Anthony Misiewicz,29,1,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,misiean01
Carlos Narváez,25,6,4,3,35,42,41,1,0,0,1,1,28,1,34,0,10.8,7,0,0,1,1,0.50,0.22,0,C,narvaca01
Oswald Peraza,24,4,4,2,31,5,2,3,0,0,1,0,0,0,0,0,1.45,1.25,,,,,,,,3B,perazos02
Cody Poteet,29,5,4,0,24.1,7,5,2,0,0,1,,,1,8,0,2.59,1.4,,,0,0,,,1,P,poteeco01
Ben Rice,25,50,41,26,350,289,273,14,2,21,0.993,0,0,-1,-3,0,7.38,5.74,0,0,0,0,,,0,1B-C,ricebe01
Anthony Rizzo,34,92,91,83,801.2,679,602,74,3,58,0.996,1,2,2,3,1,7.59,7.35,,,,,,,,1B,rizzoan01
Carlos Rodón,31,32,32,0,175,14,4,10,0,0,1,,,-1,-1,0,0.72,0.44,,,21,4,0.16,0.22,1,P,rodonca01
Dennis Santana,28,23,0,0,27.1,4,2,2,0,1,1,,,-2,-15,0,1.32,0.17,,,2,1,0.33,0.22,1,P,santade01
Clarke Schmidt,28,16,16,0,85.1,15,7,7,1,0,0.933,,,1,2,0,1.48,0.88,,,5,7,0.58,0.22,1,P,schmicl01
Kevin Smith,27,1,0,,,,,,,,,,,,,,,,,,,,,,,DH,smithke05
Juan Soto,25,151,151,140,1329.2,314,302,10,2,1,0.994,2,2,0,0,3,2.11,2,,,,,,,,RF-LF-DH,sotoju01
