Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,Name-additional
Kevin Smith,27,4,Free Agency,1.063,The Bledsoe Agenc...,,,,Arb,Arb,Arb,FA,,,smithke05
Oscar González,26,2,,1.040,,,,,Arb,Arb,Arb,FA,,,gonzaos01
Yerry De Los Santos,26,2,,1.019,,,,,Arb,Arb,Arb,FA,,,delosye01
Thomas Pannone,30,3,,1.010,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,,,pannoth01
Cam Eden,26,1st,,0.012,,,,,,Arb,Arb,Arb,FA,,edenca01
McKinley Moore,25,1st,,0.012,,,,,,Arb,Arb,Arb,FA,,mooremc01
,,,,,,,,,,,,,,,-9999
,Aaron Hicks traded to/from Los Angeles Angels,Aaron Hicks traded to/from Los Angeles Angels,Aaron Hicks traded to/from Los Angeles Angels,Aaron Hicks traded to/from Los Angeles Angels,Aaron Hicks traded to/from Los Angeles Angels,Aaron Hicks traded to/from Los Angeles Angels,$9.05M,,,,,,,,-9999
,Aaron Hicks buyout,Aaron Hicks buyout,Aaron Hicks buyout,Aaron Hicks buyout,Aaron Hicks buyout,Aaron Hicks buyout,$9.79M,$9.79M,$1M,,,,,,-9999
,Giancarlo Stanton traded to/from Miami Marlins,Giancarlo Stanton traded to/from Miami Marlins,Giancarlo Stanton traded to/from Miami Marlins,Giancarlo Stanton traded to/from Miami Marlins,Giancarlo Stanton traded to/from Miami Marlins,Giancarlo Stanton traded to/from Miami Marlins,,,-$10M,-$10M,-$10M,,,,-9999
,Josh Donaldson buyout,Josh Donaldson buyout,Josh Donaldson buyout,Josh Donaldson buyout,Josh Donaldson buyout,Josh Donaldson buyout,$8M,,,,,,,,-9999
Signed,Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),*38,6,5,4,3,1,1,1,-9999
