Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
17,3B,Eguy Rosario,24,30,57,53,5,13,6,0,3,6,0,0,2,20,.245,.286,.528,.814,121,28,1,1,1,0,0,rosareg01
18,DH,Graham Pauley*,23,13,32,32,4,4,0,0,2,5,0,0,0,15,.125,.125,.313,.438,17,10,1,0,0,0,0,paulegr01
19,C,Elias Díaz,33,12,24,21,1,4,2,0,1,3,0,0,3,5,.190,.292,.429,.720,99,9,2,0,0,0,0,diazel01
20,UT,Brett Sullivan*,30,7,17,16,1,3,0,0,1,2,0,0,1,4,.188,.235,.375,.610,67,6,0,0,0,0,0,sullibr01
21,OF,Brandon Lockridge,27,12,12,12,4,2,0,0,1,1,2,0,0,4,.167,.167,.417,.583,56,5,0,0,0,0,0,lockrbr01
22,MI,Nick Ahmed,34,2,7,7,1,1,0,0,0,0,0,0,0,2,.143,.143,.143,.286,-19,1,0,0,0,0,0,ahmedni01
23,1B,Matthew Batten,29,1,3,3,0,1,0,1,0,0,0,0,0,0,.333,.333,1.000,1.333,253,3,0,0,0,0,0,battema01
24,P,Sean Reynolds*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,reynose01
25,P,Michael King,29,0,0,,,,,,,,,,,,,,,,,,,,,,,kingmi01
26,P,Adam Mazur,23,0,0,,,,,,,,,,,,,,,,,,,,,,,mazurad01
27,P,Jeremiah Estrada#,25,0,0,,,,,,,,,,,,,,,,,,,,,,,estraje01
28,P,Jhony Brito,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,britojh01
29,P,Robert Suarez,33,0,0,,,,,,,,,,,,,,,,,,,,,,,suarero01
30,P,Wandy Peralta*,32,0,0,,,,,,,,,,,,,,,,,,,,,,,peralwa01
31,P,Tanner Scott,29,0,0,,,,,,,,,,,,,,,,,,,,,,,scottta01
32,P,Bryan Hoeing,27,0,0,,,,,,,,,,,,,,,,,,,,,,,hoeinbr01
33,P,Joe Musgrove,31,0,0,,,,,,,,,,,,,,,,,,,,,,,musgrjo01
34,P,Randy Vásquez,25,0,0,,,,,,,,,,,,,,,,,,,,,,,vasqura02
35,P,Jason Adam,32,0,0,,,,,,,,,,,,,,,,,,,,,,,adamja01
36,P,Adrián Morejón*,25,0,0,,,,,,,,,,,,,,,,,,,,,,,morejad01
37,P,Carl Edwards Jr.,32,0,0,,,,,,,,,,,,,,,,,,,,,,,edwarca01
38,P,Pedro Avila,27,0,0,,,,,,,,,,,,,,,,,,,,,,,avilape01
39,P,Dylan Cease,28,0,0,,,,,,,,,,,,,,,,,,,,,,,ceasedy01
40,P,Matt Waldron,27,0,0,,,,,,,,,,,,,,,,,,,,,,,waldrma01
41,P,Alek Jacob*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,jacobal01
42,P,Yu Darvish,37,0,0,,,,,,,,,,,,,,,,,,,,,,,darviyu01
43,P,Austin Davis*,31,0,0,,,,,,,,,,,,,,,,,,,,,,,davisau01
44,P,Martín Pérez*,33,0,0,,,,,,,,,,,,,,,,,,,,,,,perezma02
45,P,Stephen Kolek,27,0,0,,,,,,,,,,,,,,,,,,,,,,,kolekst01
46,P,Enyel De Los Santos,28,0,0,,,,,,,,,,,,,,,,,,,,,,,delosen01
47,P,Yuki Matsui*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,matsuyu01
48,P,Logan Gillaspie,27,0,0,,,,,,,,,,,,,,,,,,,,,,,gillalo01
49,P,Tom Cosgrove*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,cosgrto01
,,Team Totals,29,162,6103,5526,760,1456,259,18,190,726,120,28,458,1077,.263,.324,.420,.745,107,2321,133,56,28,31,18,-9999
,,Rank in 15 NL teams,,,,2,6,1,9,11,6,,8,6,12,1,1,5,4,4,,4,,10,,15,,-9999
