Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Austin Davis,31,7,0,0,7,3,0,2,1,0,0.667,,,-1,-29,0,2.57,0.29,,,0,0,,,0,P,davisau01
Enyel De Los Santos,28,44,0,0,40.1,2,1,0,1,0,0.5,,,-2,-10,0,0.22,0.02,,,3,0,0.00,0.20,0,P,delosen01
Elias Díaz,33,12,7,5,66,66,64,2,0,0,1,0,-9,0,0,0,9,5.5,1,4,3,1,0.25,0.20,0,C,diazel01
Carl Edwards Jr.,32,1,0,0,0,0,0,0,0,0,,,,0,,,,0,,,0,0,,,0,P,edwarca01
Jeremiah Estrada,25,62,0,0,61,4,1,2,1,0,0.75,,,-1,-3,0,0.44,0.05,,,2,0,0.00,0.21,0,P,estraje01
Logan Gillaspie,27,9,0,0,11.1,2,0,2,0,0,1,,,0,0,0,1.59,0.22,,,0,0,,,0,P,gillalo01
Kyle Higashioka,34,83,77,60,665.2,698,669,20,9,1,0.987,-3,-6,1,2,-5,9.32,8.3,9,23,52,13,0.20,0.20,0,C,higasky01
Bryan Hoeing,27,18,0,0,23.2,7,1,6,0,2,1,,,0,0,0,2.66,0.39,,,1,1,0.50,0.21,1,P,hoeinbr01
Alek Jacob,26,7,0,0,14.2,1,0,1,0,0,1,,,0,0,0,0.61,0.14,,,0,0,,,0,P,jacobal01
Bryce Johnson,28,43,18,13,194.2,45,43,2,0,0,1,1,9,1,6,0,2.08,1.02,,,,,,,,RF-CF-LF-DH,johnsbr03
Ha-Seong Kim,28,121,119,115,1046.2,419,145,263,11,64,0.974,-1,-1,2,2,-1,3.51,3.37,,,,,,,,SS,kimha01
Michael King,29,31,30,0,173.2,32,10,21,1,2,0.969,,,4,5,0,1.61,1,,,8,3,0.27,0.20,2,P,kingmi01
Stephen Kolek,27,42,0,0,46.2,9,1,8,0,0,1,,,0,0,0,1.74,0.21,,,2,1,0.33,0.20,0,P,kolekst01
Brandon Lockridge,27,8,3,3,34,10,10,0,0,0,1,1,28,0,0,0,2.65,1,,,,,,,,RF-CF-LF-DH,lockrbr01
Manny Machado,31,100,100,94,873.2,232,78,147,7,11,0.97,-3,-4,2,3,2,2.32,1.49,,,,,,,,3B-DH,machama01
