Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
40,P,Justin Lawrence,29,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,lawreju01
41,P,Cal Quantrill*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,quantca01
42,P,Ty Blach,33,0,0,,,,,,,,,,,,,,,,,,,,,,,blachty01
43,P,Seth Halvorsen,24,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,halvose01
44,P,Josh Rogers*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,rogerjo01
45,P,Jake Bird,28,0,0,,,,,,,,,,,,,,,,,,,,,,,birdja01
46,P,Dakota Hudson,29,0,0,,,,,,,,,,,,,,,,,,,,,,,hudsoda02
47,P,Jaden Hill,24,0,0,,,,,,,,,,,,,,,,,,,,,,,hillja01
48,P,Germán Márquez,29,0,0,,,,,,,,,,,,,,,,,,,,,,,marquge01
49,P,Tanner Gordon*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,gordota01
50,P,Matt Koch*,33,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,kochma01
51,P,Peter Lambert,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,lambepe01
52,P,Chasen Shreve*,33,0,0,,,,,,,,,,,,,,,,,,,,,,,shrevch01
53,P,Evan Justice*,25,0,0,,,,,,,,,,,,,,,,,,,,,,,justiev01
54,P,Nick Mears,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,mearsni01
,,Team Totals,27.9,162,6026,5454,682,1319,277,25,179,655,85,31,453,1617,.242,.304,.400,.704,89,2183,126,51,19,45,20,-9999
,,Rank in 15 NL teams,,,,12,11,10,4,7,7,,13,11,14,15,11,13,8,9,,8,,14,,6,,-9999
