Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Hunter Goodman,24,57,47,27,411,215,205,8,2,5,0.991,-3,-9,-4,-12,-3,4.66,2.96,3,9,20,2,0.09,0.20,0,C-RF-LF-1B-DH,goodmhu01
Tanner Gordon,26,8,8,0,34.1,4,0,4,0,1,1,,,1,6,0,1.05,0.5,,,1,0,0.00,0.20,0,P,gordota01
Seth Halvorsen,24,12,0,0,12.1,1,1,0,0,0,1,,,-1,-16,0,0.73,0.08,,,4,1,0.20,0.20,0,P,halvose01
Geoff Hartlieb,30,5,0,0,9,2,2,0,0,0,1,,,0,0,0,2,0.4,,,2,0,0.00,0.21,0,P,hartlge01
Sam Hilliard,30,52,41,35,372,82,78,1,3,0,0.963,-11,-35,-2,-6,-1,1.91,1.34,,,,,,,,LF-CF-RF-DH,hillisa01
Jaden Hill,24,9,0,0,10.2,1,0,1,0,0,1,,,-1,-19,0,0.84,0.11,,,5,0,0.00,0.20,0,P,hillja01
Dakota Hudson,29,18,18,0,89,14,3,11,0,2,1,,,0,0,0,1.42,0.78,,,6,5,0.45,0.20,1,P,hudsoda02
Greg Jones,26,4,1,1,15,2,2,0,0,0,1,-1,-68,0,0,0,1.2,0.5,,,,,,,,RF,jonesgr02
Nolan Jones,26,69,67,64,583.2,112,103,4,5,0,0.955,-2,-4,-4,-8,0,1.65,1.41,,,,,,,,LF-DH,jonesno01
Evan Justice,25,1,0,0,0.1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,justiev01
Tyler Kinley,33,67,0,0,64,10,2,7,1,0,0.9,,,-1,-3,0,1.27,0.13,,,11,0,0.00,0.20,1,P,kinlety01
Matt Koch,33,2,0,0,0.1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,kochma01
Peter Lambert,27,28,3,0,61.1,14,5,7,2,2,0.857,,,0,0,0,1.76,0.43,,,6,1,0.14,0.20,0,P,lambepe01
Justin Lawrence,29,56,0,0,59.2,15,4,11,0,1,1,,,0,0,0,2.26,0.27,,,8,2,0.20,0.20,2,P,lawreju01
Germán Márquez,29,1,1,0,4,0,0,0,0,0,,,,0,0,0,0,0,,,0,0,,,0,P,marquge01
Ryan McMahon,29,152,149,142,1306.2,436,98,323,15,33,0.966,11,10,10,9,0,2.9,2.73,,,,,,,,3B-DH,mcmahry01
Nick Mears,27,41,0,0,45.1,3,0,3,0,0,1,,,-1,-4,0,0.6,0.07,,,3,0,0.00,0.20,0,P,mearsni01
Anthony Molina,22,35,1,0,59.2,12,8,4,0,0,1,,,-1,-3,0,1.81,0.34,,,6,2,0.25,0.20,0,P,molinan01
Elehuris Montero,25,54,49,43,426,477,453,21,3,47,0.994,-4,-10,-3,-8,1,10.01,7.18,,,,,,,,1B-DH,monteel01
Luis Peralta,23,15,0,0,12.1,1,0,1,0,0,1,,,-1,-16,0,0.73,0.07,,,0,0,,,0,P,perallu01
