Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Cal Stevenson,27,16,6,3,59,24,23,1,0,0,1,-1,-15,-1,-20,1,3.66,1.5,,,,,,,,CF-RF-LF,steveca01
Bryson Stott,26,144,133,122,1201.1,570,232,332,6,74,0.989,-4,-4,6,6,1,4.23,3.71,,,,,,,,2B-SS-DH,stottbr01
Matt Strahm,32,66,0,0,62.2,3,1,2,0,0,1,,,1,3,0,0.43,0.05,,,2,2,0.50,0.20,1,P,strahma01
Garrett Stubbs,31,55,47,44,428.1,435,417,16,2,2,0.995,1,2,-2,-1,0,9.1,7.73,3,14,35,10,0.22,0.20,0,C-P,stubbga01
Ranger Suárez,28,27,27,1,150.2,34,7,27,0,1,1,,,5,7,0,2.03,1.26,,,8,3,0.27,0.20,2,P,suarera01
Spencer Turnbull,31,17,7,0,54.1,10,7,3,0,0,1,,,-2,-7,0,1.66,0.59,,,6,1,0.14,0.20,1,P,turnbsp01
Trea Turner,31,118,118,106,1018.2,444,136,291,17,51,0.962,-9,-10,-14,-16,0,3.77,3.53,,,,,,,,SS-DH,turnetr01
Taijuan Walker,31,19,15,0,83.2,18,9,8,1,2,0.944,,,0,0,0,1.83,0.89,,,6,4,0.40,0.20,2,P,walketa01
Zack Wheeler,34,32,32,0,200,38,21,17,0,1,1,,,3,3,0,1.71,1.19,,,8,3,0.27,0.20,1,P,wheelza01
Weston Wilson,29,35,21,10,206,46,30,14,2,3,0.957,-3,-20,0,0,0,1.92,1.13,,,0,0,,,0,LF-3B-RF-2B-1B-CF-P,wilsowe01
Infield Shifts,,,,,,,,,,,,,,11,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-8,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-5,,,,,,,,,,,,,-9999
Team Totals,28.9,162,1458,1116,12984,5880,4328,1467,85,121,0.986,-16,-1,3,,,4.02,2.71,7,48,110,31,0.22,0.20,11,,-9999
Rank in 15 NL teams,,,,,,,,,7,,6,,,,,,,,,,,,,,,,-9999
