Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Héctor Neris,35,16,0,0,15.1,1,0,0,1,0,0,,,-1,-13,0,0,0,,,0,0,,,0,P,nerishe01
Kaleb Ort,32,22,0,0,24.2,1,0,0,1,0,0,,,0,0,0,0,0,,,1,0,0,0.22,0,P,ortka01
Jeremy Peña,26,157,157,153,1388,620,221,380,19,86,0.969,6,5,4,3,-2,3.9,3.83,,,,,,,,SS,penaje02
Ryan Pressly,35,59,0,0,56.2,11,5,6,0,1,1,,,0,0,0,1.75,0.19,,,3,1,0.25,0.22,0,P,pressry01
César Salazar,28,10,7,5,70,89,83,4,2,0,0.978,0,-7,0,0,-1,11.19,7.25,1,3,4,1,0.2,0.22,0,C-DH,salazce01
Tayler Scott,32,62,1,0,68.2,16,11,5,0,0,1,,,1,3,0,2.1,0.26,,,16,4,0.2,0.22,0,P,scottta02
Jon Singleton,32,94,88,72,768.2,640,568,64,8,60,0.988,-14,-21,-8,-12,1,7.4,5.96,,,,,,,,1B-DH,singljo02
Alex Speas,26,1,0,0,2,1,1,0,0,0,1,,,0,0,0,4.5,1,,,0,0,,,0,P,speasal01
Wander Suero,32,1,0,0,0,0,0,0,0,0,,,,0,,,,0,,,0,0,,,0,P,suerowa01
Kyle Tucker,27,70,68,62,592.2,128,124,4,0,2,1,7,13,7,14,1,1.94,1.64,,,,,,,,RF-DH,tuckeky01
Framber Valdez,30,28,28,1,176.1,19,2,16,1,3,0.947,,,-1,-1,0,0.92,0.64,,,9,1,0.1,0.22,0,P,valdefr01
Justin Verlander,41,17,17,0,90.1,9,4,5,0,0,1,,,0,0,0,0.9,0.53,,,8,3,0.27,0.22,1,P,verlaju01
Shay Whitcomb,25,17,10,7,104,35,14,16,5,3,0.857,-2,-26,-4,-46,0,2.6,1.67,,,,,,,,3B-2B,whitcsh01
Forrest Whitley,26,3,0,0,3.1,1,0,0,1,0,0,,,0,0,0,0,0,,,2,0,0,0.22,0,P,whitlfo01
Infield Shifts,,,,,,,,,,,,,,21,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-4,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,2,,,,,,,,,,,,,-9999
Team Totals,29.3,161,1449,1091,12888,5692,4296,1312,84,130,0.985,40,4,1,,,3.92,2.63,2,49,135,37,0.22,0.22,7,,-9999
Rank in 15 AL teams,,,,,,,,,6,,6,,,,,,,,,,,,,,,,-9999
