Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Calvin Faucher,28,53,0,0,53.2,6,0,6,0,0,1,,,0,0,0,1.01,0.11,,,5,0,0.00,0.20,0,P,fauchca01
Nick Fortes,27,109,99,79,864,878,831,38,9,3,0.99,0,0,5,7,2,9.05,7.97,4,25,93,26,0.22,0.20,2,C,forteni01
Avisaíl García,33,16,13,10,114,39,38,1,0,0,1,0,5,0,0,0,3.08,2.44,,,,,,,,RF,garciav01
Braxton Garrett,26,7,7,1,37,4,1,3,0,0,1,,,0,0,0,0.97,0.57,,,3,0,0.00,0.20,0,P,garrebr01
Nick Gordon,28,82,68,53,588.1,148,136,9,3,1,0.98,1,3,-7,-14,-1,2.22,1.71,,,,,,,,LF-CF-2B-RF-DH,gordoni01
Tristan Gray,28,5,1,1,15,10,1,9,0,0,1,2,135,1,80,0,6,2,,,,,,,,3B,graytr01
Vladimir Gutierrez,28,1,0,0,4,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.20,0,P,gutievl01
David Hensley,28,18,11,6,107,37,34,3,0,2,1,-2,-25,-2,-22,0,3.11,1.68,,,0,0,,,0,RF-1B-LF-P-3B-DH,henslda01
Derek Hill,28,29,25,15,225.1,76,75,1,0,1,1,4,23,-1,-5,-1,3.04,2,,,,,,,,CF-LF-DH,hillde01
Bryan Hoeing,27,16,2,0,30,4,2,1,1,0,0.75,,,-2,-13,0,0.9,0.19,,,6,1,0.14,0.20,0,P,hoeinbr01
Austin Kitchen,27,4,1,0,7,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.20,0,P,kitchau01
Otto Lopez,25,114,106,97,949.1,470,181,281,8,55,0.983,-1,-1,8,10,-2,4.38,3.85,,,,,,,,2B-SS-3B-LF-CF,lopezot01
Jesús Luzardo,26,12,12,0,66.2,13,3,10,0,0,1,,,2,6,0,1.76,1.08,,,5,4,0.44,0.20,1,P,luzarje01
Anthony Maldonado,26,16,1,0,19,6,2,3,1,1,0.833,,,0,0,0,2.37,0.31,,,2,1,0.33,0.20,0,P,maldoan01
Darren McCaughan,28,10,5,0,36,4,0,3,1,0,0.75,,,0,0,0,0.75,0.3,,,3,2,0.40,0.20,0,P,mccauda01
John McMillon,26,10,0,0,12,3,1,1,1,0,0.667,,,0,0,0,1.5,0.2,,,1,0,0.00,0.20,0,P,mcmiljo01
Max Meyer,25,11,11,0,57,13,8,4,1,0,0.923,,,0,0,0,1.89,1.09,,,3,2,0.40,0.20,0,P,meyerma01
Roddery Muñoz,24,18,17,0,82.2,12,2,6,4,0,0.667,,,0,0,0,0.87,0.44,,,6,5,0.45,0.20,1,P,munozro01
Dane Myers,28,39,22,11,222,67,59,6,2,1,0.97,0,0,1,5,1,2.64,1.48,,,,,,,,RF-CF-LF-DH,myersda01
Andrew Nardi,25,59,0,0,49.2,4,0,4,0,0,1,,,0,0,0,0.72,0.07,,,6,2,0.25,0.20,1,P,nardian01
Connor Norby,24,32,32,31,285,101,40,53,8,5,0.921,-4,-16,-5,-21,0,2.94,2.51,,,,,,,,3B-2B-DH,norbyco01
Adam Oller,29,8,8,0,42.1,3,1,2,0,0,1,,,0,0,0,0.64,0.38,,,1,2,0.67,0.20,0,P,ollerad01
Cristian Pache,25,31,17,11,165,50,48,1,1,0,0.98,-3,-24,-1,-7,0,2.67,1.53,,,,,,,,CF-DH,pachecr01
Jhonny Pereda,28,19,10,8,101,95,86,8,1,1,0.989,0,5,0,0,0,8.38,4.7,0,7,4,4,0.50,0.20,0,C-1B-P,peredjh01
Michael Petersen,30,5,0,0,5.2,1,0,1,0,0,1,,,0,0,0,1.59,0.2,,,1,0,0.00,0.20,0,P,petermi01
A.J. Puk,29,32,4,0,44,6,2,4,0,1,1,,,1,5,0,1.23,0.19,,,3,1,0.25,0.20,0,P,pukaj01
Emmanuel Ramirez,29,15,0,0,20.2,1,1,0,0,0,1,,,0,0,0,0.44,0.07,,,1,1,0.50,0.21,0,P,ramirem01
Emmanuel Rivera,28,91,59,47,549.1,211,96,112,3,17,0.986,0,-1,0,0,0,3.41,2.17,,,0,0,,,0,3B-1B-P-DH,riverem01
Trevor Rogers,26,21,21,0,105.1,15,6,8,1,0,0.933,,,-2,-4,0,1.2,0.67,,,11,4,0.27,0.20,0,P,rogertr01
Ali Sánchez,27,30,28,24,244,253,239,12,2,2,0.992,1,7,0,0,1,9.26,8.37,0,6,25,9,0.26,0.20,0,C,sanchal04
Jesús Sánchez,26,119,105,85,934.1,233,226,3,4,2,0.983,-1,-1,-2,-3,-3,2.21,1.59,,,,,,,,RF-LF-DH,sanchje02
Sixto Sánchez,25,14,7,0,35.2,8,5,3,0,2,1,,,0,0,0,2.02,0.57,,,4,1,0.20,0.20,0,P,sanchsi01
Javier Sanoja,21,13,9,5,79.2,22,13,9,0,2,1,0,3,1,15,0,2.49,1.47,,,,,,,,2B-CF-SS-LF-DH,sanojja01
Tanner Scott,29,44,0,0,45.2,5,2,2,1,0,0.8,,,-2,-9,0,0.79,0.09,,,3,2,0.40,0.20,0,P,scottta01
Burch Smith,34,25,0,0,29.2,6,0,6,0,0,1,,,0,0,0,1.82,0.24,,,5,0,0.00,0.20,0,P,smithbu03
George Soriano,25,22,0,0,29.1,6,3,3,0,0,1,,,1,7,0,1.84,0.27,,,2,0,0.00,0.21,1,P,soriage01
Kyle Stowers,26,47,41,24,358,101,98,3,0,0,1,1,4,-1,-3,0,2.54,1.8,,,,,,,,LF-CF-RF,stoweky01
Jesús Tinoco,29,21,0,0,26.2,4,3,1,0,0,1,,,0,0,0,1.35,0.19,,,2,0,0.00,0.21,0,P,tinocje01
Kyle Tyler,27,8,7,0,31.2,5,1,4,0,0,1,,,1,6,0,1.42,0.63,,,3,3,0.50,0.20,0,P,tylerky01
Anthony Veneziano,26,10,0,0,11.1,1,1,0,0,0,1,,,0,0,0,0.79,0.1,,,3,0,0.00,0.20,0,P,venezan01
