Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,Name-additional
Dane Myers,28,2,Waivers,0.054,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,myersda01
John McMillon,26,2,Waivers,0.047,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,mcmiljo01
Darren McCaughan,28,3,Purchased,0.017,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,mccauda01
Anthony Veneziano,26,2,Waivers,0.013,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,venezan01
Yonny Chirinos,30,6,Free Agency,5.114,MDR Sports Manage...,,Arb (~$2M),,,,chiriyo01
Derek Hill,28,5,Waivers,1.095,Reynolds Sports M...,,,,Arb,Arb,hillde01
Adam Oller,29,3,Free Agency,0.160,Gaeta Sports Mana...,,,,Arb,Arb,ollerad01
Jeff Lindgren,27,1st,Amateur Draft,0.024,,,,,,Arb,lindgje01
,,,,,,,,,,,-9999
,Johnny Cueto buyout,Johnny Cueto buyout,Johnny Cueto buyout,Johnny Cueto buyout,Johnny Cueto buyout,Johnny Cueto buyout,$2.5M,,,,-9999
,Giancarlo Stanton traded to/from New York Yankees,Giancarlo Stanton traded to/from New York Yankees,Giancarlo Stanton traded to/from New York Yankees,Giancarlo Stanton traded to/from New York Yankees,Giancarlo Stanton traded to/from New York Yankees,Giancarlo Stanton traded to/from New York Yankees,,,$10M,$10M,-9999
,Matt Barnes buyout,Matt Barnes buyout,Matt Barnes buyout,Matt Barnes buyout,Matt Barnes buyout,Matt Barnes buyout,$2.25M,,,,-9999
Signed,Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),*29,1,1,,-9999
Dollars Committed,Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),*$41.3M,$17.3M,$37.3M,$22M,-9999
,,,,,,,,,,,-9999
Contract Options,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,,,,1,-9999
Option Values,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,,,,$21M,-9999
,,,,,,,,,,,-9999
Arb Eligible,Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),,0-0-7-0,0-0-19-0,0-0-30-0,-9999
Arb Costs,Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),†$2M,$39.7M,$107.7M,$170M,-9999
,,,,,,,,,,,-9999
