Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Jacob Hurtubise,26,21,17,9,147,35,32,3,0,0,1,0,2,1,8,1,2.14,1.35,,,,,,,,LF-RF-DH,hurtuja01
Jonathan India,27,133,132,123,1137,460,217,239,4,53,0.991,6,6,-10,-11,-2,3.61,3.02,,,,,,,,2B-DH,indiajo01
Levi Jordan,28,6,2,2,27,4,3,1,0,1,1,-2,-107,0,0,0,1.33,0.67,,,,,,,,LF-RF-2B,jordale01
Jakob Junis,31,14,5,0,41,2,0,2,0,1,1,,,1,5,0,0.44,0.14,,,4,1,0.20,0.20,0,P,junisja01
Casey Kelly,34,2,0,0,5.1,0,0,0,0,0,,,,0,0,,0,0,,,2,0,0.00,0.21,0,P,kellyca01
Evan Kravetz,27,1,0,0,0.2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,kraveev01
Casey Legumina,27,6,0,0,9.1,1,0,0,1,0,0,,,0,0,0,0,0,,,0,0,,,0,P,legumca01
Brandon Leibrandt,31,2,0,0,6.1,2,1,1,0,0,1,,,1,32,0,2.84,1,,,0,0,,,0,P,leibrbr01
Nick Lodolo,26,21,21,0,115.1,11,1,9,1,0,0.909,,,-1,-2,0,0.78,0.48,,,11,4,0.27,0.20,1,P,lodolni01
Rhett Lowder,22,6,6,0,30.2,3,1,1,1,0,0.667,,,0,0,0,0.59,0.33,,,5,2,0.29,0.20,0,P,lowderh01
Luke Maile,33,52,44,31,381.2,421,402,18,1,0,0.998,5,16,-5,-16,1,9.9,7.92,3,8,34,15,0.31,0.20,1,C-P-DH,mailelu01
Noelvi Marte,22,55,53,50,469.1,130,45,73,12,6,0.908,-4,-10,-8,-20,-1,2.26,1.79,,,,,,,,3B-2B-DH,marteno01
Nick Martinez,33,42,16,1,142.1,28,10,15,3,1,0.893,,,1,1,0,1.58,0.6,,,10,3,0.23,0.20,2,P,martini01
Nick Martini,34,16,12,6,100,25,24,1,0,0,1,1,7,-1,-12,-1,2.25,0.51,,,,,,,,RF-LF-DH,martini02
Sam Moll,32,48,0,0,37.2,6,2,4,0,0,1,,,0,0,0,1.43,0.13,,,5,1,0.17,0.20,1,P,mollsa01
Frankie Montas,31,19,19,0,93.1,21,10,11,0,0,1,,,1,2,0,2.03,1.11,,,9,5,0.36,0.20,0,P,montafr02
