Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,rOBA,Rbatplus,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
21,Dominic Smith*,29,1B,-0.1,9,29,26,4,5,2,0,0,0,0,0,3,11,.192,.276,.269,.545,50,.250,45,7,0,0,0,0,0,/3DH,,smithdo02
22,Austin Slater,31,OF,-0.4,8,21,18,2,2,0,0,0,3,0,0,2,6,.111,.190,.111,.302,-14,.151,-26,2,0,0,0,1,0,/87H9D,,slateau01
23,Austin Wynns,33,C,0.4,7,20,19,3,7,4,0,0,2,0,0,0,5,.368,.400,.579,.979,164,.409,160,11,0,1,0,0,0,/2H,,wynnsau01
24,Bubba Thompson,26,CF,-0.3,17,18,18,5,2,1,0,0,0,5,0,0,11,.111,.111,.167,.278,-25,.186,-47,3,1,0,0,0,0,8/HD,,thompbu01
25,Levi Jordan,28,UT,-0.2,7,11,10,1,1,1,0,0,1,0,0,0,3,.100,.091,.200,.291,-24,.113,-53,2,0,0,0,1,0,/7H94,,jordale01
26,Edwin Ríos*,30,1B,-0.1,5,10,9,1,1,0,0,0,0,0,0,1,4,.111,.200,.111,.311,-11,.159,-21,1,0,0,0,0,0,/3H,,riosed01
27,Conner Capel*,27,DH,-0.1,5,8,8,1,2,0,0,0,0,1,0,0,2,.250,.250,.250,.500,38,.254,27,2,0,0,0,0,0,/DH7,,capelco01
28,Liván Soto*,24,DH,-0.1,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-138,0,0,0,0,0,0,/D,,sotoli01
29,Joey Wiemer,25,OF,0.0,2,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,.691,373,0,0,0,0,0,0,/789,,wiemejo01
30,Eric Yang,26,,,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-145,0,0,0,0,0,0,/H,,yanger01
31,Lucas Sims,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,simslu01
32,Buck Farmer*,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,farmebu01
33,Alexis Díaz,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,diazal03
34,Fernando Cruz#,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,cruzfe01
35,Justin Wilson*,36,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,wilsoju10
36,Alex Young*,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,youngal01
,Team Totals,,,4.6,162,5970,5325,699,1230,257,29,174,663,207,45,496,1459,.231,.305,.388,.693,88,.313,88,2067,86,87,18,43,7,,,-9999
