Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Kyle Hurt,26,3,1,0,6.2,1,1,0,0,0,1,,,0,0,0,1.35,0.33,,,2,0,0.00,0.21,0,P,hurtky01
Joe Kelly,36,35,0,0,32,7,2,5,0,0,1,,,1,6,0,1.97,0.2,,,1,1,0.50,0.21,1,P,kellyjo05
Clayton Kershaw,36,7,7,0,30,4,1,2,1,0,0.75,,,0,0,0,0.9,0.43,,,0,3,1.00,0.20,0,P,kershcl01
Kevin Kiermaier,34,32,19,10,172,64,63,1,0,1,1,3,24,1,7,-1,3.35,2,,,,,,,,CF,kiermke01
Landon Knack,26,15,12,0,69,8,7,1,0,0,1,,,-2,-6,0,1.04,0.53,,,7,0,0.00,0.20,0,P,knackla01
Michael Kopech,28,24,0,0,24,4,3,0,1,0,0.75,,,-1,-8,0,1.13,0.13,,,2,2,0.50,0.20,0,P,kopecmi01
Dinelson Lamet,31,3,0,0,4.1,2,2,0,0,0,1,,,0,0,0,4.15,0.67,,,0,0,,,0,P,lametdi01
Zach Logue,28,2,0,0,2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,logueza01
Gavin Lux,26,138,117,99,1054.2,453,179,265,9,68,0.98,-1,-1,-2,-2,-1,3.79,3.19,,,,,,,,2B-SS,luxga01
Bobby Miller,25,13,13,0,56,4,2,2,0,0,1,,,0,0,0,0.64,0.31,,,5,1,0.17,0.20,0,P,millebo06
Max Muncy,33,72,66,64,602.1,165,44,115,6,16,0.964,2,5,5,10,0,2.38,2.21,,,,,,,,3B,muncyma01
Shohei Ohtani,29,159,159,,,,,,,,,,,,,,,,,,,,,,,DH,ohtansh01
James Outman,27,50,37,28,339.2,97,94,2,1,0,0.99,-5,-17,-1,-4,0,2.54,1.88,,,,,,,,CF-LF-RF,outmaja01
Andy Pages,23,114,101,78,933.2,302,294,5,3,2,0.99,7,9,-1,-1,-2,2.88,2.23,,,,,,,,CF-RF-LF-DH,pagesan01
James Paxton,35,18,18,0,89.1,7,0,6,1,0,0.857,,,1,2,0,0.6,0.33,,,4,3,0.43,0.20,1,P,paxtoja01
Michael Petersen,30,11,0,0,14,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.20,0,P,petermi01
Evan Phillips,29,61,0,0,54.2,9,4,4,1,0,0.889,,,-1,-4,0,1.32,0.13,,,3,0,0.00,0.20,0,P,phillev01
Nick Ramirez,34,8,0,0,13.1,2,0,2,0,0,1,,,0,0,0,1.35,0.25,,,2,1,0.33,0.20,0,P,ramirni01
Yohan Ramírez,29,27,0,0,29.1,7,2,3,2,0,0.714,,,0,0,0,1.53,0.19,,,1,0,0.00,0.20,1,P,ramiryo01
Miguel Rojas,35,102,86,67,757,334,132,199,3,27,0.991,5,8,11,17,0,3.94,3.06,,,0,0,,,0,SS-2B-3B-P-1B,rojasmi02
Amed Rosario,28,5,3,0,24,12,4,8,0,2,1,0,-5,0,0,0,4.5,2.4,,,,,,,,2B-SS-3B,rosaram01
River Ryan,25,4,4,0,20.1,8,2,6,0,1,1,,,1,10,0,3.54,2,,,4,0,0.00,0.20,1,P,ryanri01
Eduardo Salazar,26,1,0,0,2,1,0,1,0,0,1,,,0,0,0,4.5,1,,,0,0,,,0,P,salazed01
Will Smith,29,121,117,113,1051.1,1066,1000,58,8,3,0.992,6,7,-4,-5,-5,9.06,8.53,5,53,64,32,0.33,0.20,1,C-DH,smithwi05
Gavin Stone,25,25,25,1,140.1,29,16,13,0,2,1,,,3,4,0,1.86,1.16,,,8,1,0.11,0.20,1,P,stonega01
Chris Taylor,33,85,56,34,564,151,98,51,2,10,0.987,-4,-9,-2,-4,0,2.38,1.48,,,,,,,,LF-3B-2B-CF,tayloch03
Taylor Trammell,26,3,1,0,12,5,5,0,0,0,1,1,141,0,0,0,3.75,1.67,,,,,,,,LF-RF,trammta01
Blake Treinen,36,50,0,0,46.2,6,2,3,1,0,0.833,,,-2,-9,0,0.96,0.1,,,8,1,0.11,0.20,3,P,treinbl01
Ricky Vanasco,25,2,0,0,2,1,1,0,0,0,1,,,0,0,0,4.5,0.5,,,0,0,,,0,P,vanasri01
Miguel Vargas,24,28,20,5,166,34,30,3,1,1,0.971,-3,-20,0,0,1,1.79,1.18,,,,,,,,LF-1B,vargami01
Gus Varland,27,7,0,0,6,3,2,1,0,0,1,,,1,33,0,4.5,0.43,,,0,1,1.00,0.20,1,P,varlagu01
