Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Derek Hill,28,13,8,6,75.2,18,16,1,1,0,0.944,-2,-29,-2,-32,0,2.02,1.13,,,,,,,,RF-CF-LF-DH,hillde01
Sam Huff,26,2,1,1,11,9,9,0,0,0,1,0,19,0,0,0,7.36,4.5,0,0,0,0,,,0,C,huffsa01
Travis Jankowski,33,69,30,23,321,86,82,1,3,0,0.965,11,42,8,30,1,2.33,0.85,,,,,,,,RF-LF-CF-DH,jankotr01
Josh Jung,26,40,40,39,352.1,97,28,66,3,7,0.969,-6,-19,-3,-10,0,2.4,2.04,,,,,,,,3B-DH,jungjo01
Carson Kelly,29,24,23,21,200.1,188,181,6,1,1,0.995,-2,-10,-4,-24,-2,8.4,6.03,2,9,17,3,0.15,0.22,0,C-DH,kellyca02
Andrew Knizner,29,36,28,20,242,255,248,5,2,1,0.992,-3,-16,-3,-15,0,9.41,6.84,0,10,25,3,0.11,0.22,0,C-P-DH,kniznan01
Wyatt Langford,22,109,109,81,927.2,218,208,8,2,1,0.991,6,7,14,18,5,2.1,1.49,,,,,,,,LF-CF-DH,langfwy01
Jacob Latz,28,46,0,0,43.2,5,2,3,0,0,1,,,-1,-5,0,1.03,0.11,,,1,1,0.5,0.22,0,P,latzja01
José Leclerc,30,64,0,0,66.2,8,2,5,1,1,0.875,,,0,0,0,0.95,0.11,,,11,3,0.21,0.22,0,P,leclejo01
Jack Leiter,24,9,6,0,35.2,6,3,3,0,0,1,,,0,0,0,1.51,0.67,,,4,0,0,0.22,0,P,leiteja01
Michael Lorenzen,32,19,18,0,101.2,18,7,11,0,3,1,,,2,4,0,1.59,0.95,,,6,5,0.45,0.22,0,P,lorenmi01
Nathaniel Lowe,28,138,135,134,1193.2,1080,983,92,5,73,0.995,9,9,1,1,-2,8.11,7.68,,,,,,,,1B-DH,lowena01
Tyler Mahle,29,3,3,0,12.2,0,0,0,0,0,,,,0,0,0,0,0,,,2,0,0,0.22,0,P,mahlety01
Jonathan Ornelas,24,18,11,9,106.2,40,14,24,2,1,0.95,0,-1,1,11,0,3.21,2.11,,,,,,,,3B-SS-2B-CF,orneljo01
