Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
19,DH,Daniel Vogelbach*,31,31,79,70,5,13,5,0,1,8,0,0,9,17,.186,.278,.300,.578,66,21,4,0,0,0,0,vogelda01
20,C,Brian Serven,29,28,71,63,6,10,4,0,0,3,0,0,5,22,.159,.243,.222,.465,35,14,0,2,1,0,0,servebr01
21,OF,Steward Berroa#,25,28,45,37,7,7,1,0,0,1,6,2,8,14,.189,.333,.216,.550,63,8,0,0,0,0,0,berrost01
22,UT,Luis De Los Santos,26,13,31,29,2,5,2,0,0,1,0,0,2,10,.172,.226,.241,.467,34,7,2,0,0,0,0,deloslu03
23,CF,Jonatan Clase#,22,7,23,20,3,7,1,0,1,2,0,1,1,3,.350,.435,.550,.985,180,11,0,2,0,0,0,clasejo01
24,C,Tyler Heineman#,33,5,13,10,2,1,0,0,0,0,0,0,3,5,.100,.308,.100,.408,25,1,0,0,0,0,0,heinety01
25,2B,Orelvis Martinez,22,1,3,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,92,1,0,0,0,0,0,martior01
26,P,Trevor Richards,31,0,0,,,,,,,,,,,,,,,,,,,,,,,richatr01
27,P,Brendon Little*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,littlbr02
28,P,Paolo Espino,37,0,0,,,,,,,,,,,,,,,,,,,,,,,espinpa01
29,P,Tim Mayza*,32,0,0,,,,,,,,,,,,,,,,,,,,,,,mayzati01
30,P,Wes Parsons,31,0,0,,,,,,,,,,,,,,,,,,,,,,,parsowe01
31,P,José Berríos,30,0,0,,,,,,,,,,,,,,,,,,,,,,,berrijo01
32,P,Erik Swanson,30,0,0,,,,,,,,,,,,,,,,,,,,,,,swanser01
33,P,Yusei Kikuchi*,33,0,0,,,,,,,,,,,,,,,,,,,,,,,kikucyu01
34,P,Ryan Burr,30,0,0,,,,,,,,,,,,,,,,,,,,,,,burrry01
35,P,Luis Frías,26,0,0,,,,,,,,,,,,,,,,,,,,,,,friaslu01
36,P,Zach Pop,27,0,0,,,,,,,,,,,,,,,,,,,,,,,popza01
37,P,Nate Pearson,27,0,0,,,,,,,,,,,,,,,,,,,,,,,pearsna01
38,P,Génesis Cabrera*,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,cabrege01
39,P,Tommy Nance,33,0,0,,,,,,,,,,,,,,,,,,,,,,,nanceto01
40,P,Brandon Eisert*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,eiserbr01
41,P,Dillon Tate,30,0,0,,,,,,,,,,,,,,,,,,,,,,,tatedi01
42,P,Nick Robertson,25,0,0,,,,,,,,,,,,,,,,,,,,,,,roberni01
43,P,Kevin Gausman*,33,0,0,,,,,,,,,,,,,,,,,,,,,,,gausmke01
44,P,Yimi García,33,0,0,,,,,,,,,,,,,,,,,,,,,,,garciyi01
45,P,Bowden Francis,28,0,0,,,,,,,,,,,,,,,,,,,,,,,francbo01
46,P,José Cuas,30,0,0,,,,,,,,,,,,,,,,,,,,,,,cuasjo01
47,P,Jordan Romano,31,0,0,,,,,,,,,,,,,,,,,,,,,,,romanjo03
48,P,Alek Manoah,26,0,0,,,,,,,,,,,,,,,,,,,,,,,manoaal01
49,P,Brett de Geus,26,0,0,,,,,,,,,,,,,,,,,,,,,,,degeubr01
50,P,Ryan Yarbrough,32,0,0,,,,,,,,,,,,,,,,,,,,,,,yarbrry01
51,P,Chris Bassitt,35,0,0,,,,,,,,,,,,,,,,,,,,,,,bassich01
52,P,Mitch White,29,0,0,,,,,,,,,,,,,,,,,,,,,,,whitemi03
53,P,Yerry Rodríguez,26,0,0,,,,,,,,,,,,,,,,,,,,,,,rodriye01
54,P,Chad Green*,33,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,greench03
55,P,Yariel Rodríguez,27,0,0,,,,,,,,,,,,,,,,,,,,,,,rodriya01
56,P,Easton Lucas*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,lucasea01
,,Team Totals,28.1,162,6060,5410,671,1306,280,26,156,640,72,16,510,1233,.241,.313,.389,.703,100,2106,126,78,14,45,18,-9999
,,Rank in 15 AL teams,,,,10,11,7,3,5,13,,14,1,3,4,7,6,9,7,,8,,5,,5,,-9999
